#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1442.42 103 30573 71 0 18089 12960
5048 1423.02 1352 47076 1038 359 7963 37703
5040 1442.42 6 33746 3 0 11493 21595
5048 1423.02 72 27080 36 0 13312 13331
5040 1442.42 1103 48367 159 808 9092 39122
5048 1423.02 751 21155 339 418 11403 8931
5040 1442.42 297 38403 131 173 8141 29767
5048 1423.02 860 10825 399 413 7503 3231
5040 1442.42 673 34028 339 305 14194 18702
5048 1423.02 700 32205 454 324 15093 16690
5040 1442.42 577 28430 313 234 15674 12452
5048 1423.02 325 17627 283 0 9134 8714
5040 1442.42 -5 14989 7 0 7286 7709
5048 1423.02 853 34482 236 537 9591 24261
5040 1442.42 52 17591 8 0 11875 5794
5048 1423.02 586 21840 20 243 9984 11867
5040 1442.42 467 36203 255 239 12096 23373
5048 1423.02 837 25582 410 0 15640 10748
5040 1442.42 309 19725 21 286 10453 8768
5048 1423.02 256 22155 0 329 12002 9695
5040 1442.42 247 45835 220 0 14166 30772
5048 1423.02 904 66860 473 427 12743 51858
5040 1442.42 1074 33624 1028 0 10163 23160
5048 1423.02 557 44456 229 233 9507 34505
5040 1442.42 1420 28253 873 432 12360 16130
5048 1423.02 892 34285 846 0 16066 17942
5040 1442.42 853 19810 230 557 13739 5986
5048 1423.02 341 14278 337 0 11384 2534
5040 1442.42 1827 36936 1202 573 11195 25406
5048 1423.02 263 39650 7 262 11286 28078
5040 1442.42 1887 29507 480 1353 12964 15540
5048 1423.02 1355 44220 312 1077 6277 36654
5040 1442.42 589 27622 549 0 7621 19724
5048 1423.02 866 34948 120 158 17271 18450
5040 1442.42 1211 30534 136 1127 6049 23684
5048 1423.02 1204 44649 199 1019 11840 33095
5040 1442.42 292 22909 35 236 9321 13927
5048 1423.02 790 26949 103 698 13652 11591
5040 1442.42 892 24161 700 176 12245 12304
5048 1423.02 456 39437 200 197 14394 24274
5040 1442.42 295 30388 312 0 16547 13955
5048 1423.02 919 42282 208 772 12105 29716
5040 1442.42 505 16676 262 173 8124 8299
5048 1423.02 967 18789 900 0 7151 11041
5040 1442.42 865 27327 399 441 20435 6576
5048 1423.02 1372 35526 1333 0 20292 14747
5040 1442.42 1433 40435 1211 246 9497 30728
5048 1423.02 1113 29315 274 760 13635 14968
5040 1442.42 348 48494 61 208 12193 36525
5048 1423.02 402 31365 0 467 9482 21483
5040 1442.42 1831 17126 935 874 12569 4857
5048 1423.02 607 28374 334 215 12828 14124
5040 1442.42 1355 52260 1027 212 11358 41839
5048 1423.02 959 34661 741 189 12439 22718
5040 1442.42 948 32525 79 812 17058 15252
5048 1423.02 126 50187 190 0 12263 37357
5040 1442.42 680 22599 668 0 8162 14284
5048 1423.02 55 19914 73 0 15276 5294
5040 1442.42 558 34107 548 0 13092 21037
5048 1423.02 611 46869 332 230 12536 33426
5040 1442.42 195 31152 170 0 8028 22571
