#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 793.183 1396 48948 513 965 20678 28050
5048 772.124 293 50114 181 155 22814 26002
5040 793.183 1659 66699 759 989 41215 25135
5048 772.124 2599 93104 543 1975 30415 60067
5040 793.183 1470 111331 691 791 47197 64297
5048 772.124 1951 44193 1833 163 28849 15743
5040 793.183 839 64441 388 478 27294 36811
5048 772.124 2392 65219 1952 306 40803 24611
5040 793.183 1266 36203 1269 0 23923 11992
5048 772.124 2718 68797 2822 0 47015 22355
5040 793.183 1312 72675 623 616 27333 44927
5048 772.124 656 84967 367 246 62225 22200
5040 793.183 2480 47606 2326 0 37223 10169
5048 772.124 1519 52932 1375 193 39773 13892
5040 793.183 1301 59475 643 544 28534 30287
5048 772.124 1839 61236 1404 389 35152 25740
5040 793.183 2309 43248 1859 455 31267 12615
5048 772.124 2006 51193 1766 228 31297 19513
5040 793.183 1062 67364 748 347 41315 25454
5048 772.124 744 61295 731 0 31200 30814
5040 793.183 1503 69817 1335 167 33494 36341
5048 772.124 2660 88062 1808 823 20190 66988
5040 793.183 4682 34064 3690 768 27807 6265
5048 772.124 1730 65892 1519 187 48009 16126
5040 793.183 2915 84422 2007 865 36039 48288
5048 772.124 2253 73756 1540 712 33689 38708
5040 793.183 1416 70611 911 497 20772 51383
5048 772.124 4480 61647 3846 568 29789 30746
5040 793.183 4771 55641 4737 0 34545 19533
5048 772.124 2359 65710 2048 185 38471 26638
5040 793.183 767 62888 448 261 42166 21018
5048 772.124 3980 86757 2275 1816 38830 49757
5040 793.183 1100 50912 860 204 39402 11865
5048 772.124 1817 55596 943 804 27536 27128
5040 793.183 1955 69045 1601 291 38074 31304
5048 772.124 2335 63262 2030 196 43837 19091
5040 793.183 1898 60177 1311 707 29555 30405
5048 772.124 1732 54029 1358 290 39620 14077
5040 793.183 1459 79355 891 538 32337 47118
5048 772.124 1431 81220 1337 0 36406 44023
5040 793.183 1948 56127 1367 576 29194 26241
5048 772.124 4031 97619 1649 2336 42147 55164
5040 793.183 1408 70354 592 767 30648 39263
5048 772.124 6729 51562 3275 0 38814 13889
5040 793.183 2244 40829 2078 200 26466 14183
5048 772.124 2955 85489 2568 245 38769 45917
5040 793.183 267 51479 260 0 25194 26551
5048 772.124 2711 49683 2493 261 23586 25811
5040 793.183 1425 83174 718 721 25656 56737
5048 772.124 584 58712 260 252 31699 27041
5040 793.183 2392 45474 824 315 28388 16745
5048 772.124 856 58030 574 334 36762 20587
5040 793.183 816 51375 426 330 27283 25071
5048 772.124 3209 65442 2426 752 32826 34906
5040 793.183 1736 60848 834 985 19838 40609
5048 772.124 3539 59930 2564 1007 32642 27917
5040 793.183 1053 64597 339 563 32409 31756
5048 772.124 1484 51009 1252 224 41907 9958
5048 772.124 1611 53155 1475 0 38584 14431
5040 793.183 1653 36286 1620 0 17593 18765
5040 793.183 3359 72927 2745 638 31955 40868
5048 772.124 3442 54838 2864 186 39974 15587
5040 793.183 3052 71327 1502 1211 40786 29169
5048 772.124 777 79852 436 276 38707 39633
5040 793.183 2257 52157 1171 1134 31168 21644
5048 772.124 2301 77012 2291 210 62993 13242
5048 772.124 1170 64262 654 209 41017 22458
5040 793.183 2554 74062 1749 645 50894 21896
5040 793.183 1080 49826 740 255 20595 29762
5048 772.124 2639 58200 2065 502 29524 28881
5040 793.183 1578 87219 1030 518 30644 56814
5048 772.124 2722 76836 1309 1418 22982 53351
5040 793.183 740 39744 739 0 18521 19886
5048 772.124 2460 53142 1702 641 25058 26705
5040 793.183 1559 68331 845 586 25511 42262
5048 772.124 3026 67011 2272 731 29846 37680
5040 793.183 1608 62726 1234 368 21415 40977
5048 772.124 2180 48374 1853 360 24145 25333
5040 793.183 2888 59231 2585 220 32682 26840
5048 772.124 1969 71335 843 1030 43399 27161
5040 793.183 1582 113475 1140 347 66002 47486
5048 772.124 1174 37295 933 250 26448 10056
5040 793.183 3683 40150 2773 854 30549 9491
5048 772.124 1671 69209 1437 168 45801 23012
5040 793.183 1133 56632 163 1043 22918 33193
5048 772.124 2068 95605 1671 443 34369 60593
5040 793.183 801 67876 620 220 35728 32264
5048 772.124 1047 41460 1012 0 17160 24811
5040 793.183 2309 70222 1887 263 47700 21023
5048 772.124 3532 79537 933 2075 33491 47284
5040 793.183 1802 67677 1362 389 27334 40405
5048 772.124 2074 50333 1651 440 27715 20762
5040 793.183 2572 67931 2207 302 28023 40700
5048 772.124 3011 107716 2221 620 43864 62608
5040 793.183 1697 88742 798 869 35170 53041
5048 772.124 3730 45128 1663 1943 23930 20394
5040 793.183 1575 65496 1296 268 39543 26651
5048 772.124 2708 95146 1747 998 49219 45954
5040 793.183 67 62198 75 0 31757 29818
5048 772.124 1320 35242 1188 0 31858 3664
5040 793.183 1354 48672 1317 0 31438 17871
5048 772.124 746 43363 150 253 29467 12734
5040 793.183 2817 96987 1622 1146 46865 50746
5048 772.124 1104 34030 996 0 28674 4547
5040 793.183 799 69552 397 408 29137 40208
5048 772.124 1740 66191 1195 483 29515 35113
5040 793.183 1666 46334 1297 317 30501 15939
5048 772.124 3225 76635 3020 201 54610 22245
5040 793.183 3880 72762 2958 953 38782 32487
5048 772.124 5144 118453 2674 2412 48799 67449
5040 793.183 2513 37895 1638 0 27913 10701
5048 772.124 2897 78186 2541 465 37914 41993
5040 793.183 2116 72909 513 1546 21799 49859
5048 772.124 1337 58950 787 523 23973 36105
5040 793.183 1754 60136 1806 0 38295 21867
5048 772.124 2144 75964 2034 0 38289 37555
5040 793.183 2161 73486 1736 287 38601 34642
5048 772.124 -24 61160 11 0 46768 14811
5040 793.183 2227 65620 948 1247 21512 43209
5048 772.124 2079 48118 878 1154 38717 9671
5040 793.183 3542 66347 1972 1132 29152 36015
5048 772.124 1902 77310 1267 591 34056 43896
5040 793.183 4036 31018 3362 248 23105 6901
5048 772.124 1273 41234 698 516 27496 12284
5040 793.183 3733 60596 2987 751 32689 27516
5048 772.124 2371 48511 1918 251 30366 18245
5040 793.183 2249 64990 1623 517 35706 28706
5048 772.124 1830 84853 1507 201 41507 43108
5040 793.183 1759 79329 427 888 50228 28486
5048 772.124 3392 74743 2025 1487 47417 28293
5040 793.183 554 60722 316 202 29041 30051
5048 772.124 1744 63900 1085 680 17578 43499
5040 793.183 2321 84108 461 1914 17240 67469
5048 772.124 1808 84144 730 1068 27675 56571
5048 772.124 3110 117421 1657 1274 46009 71340
5040 793.183 2240 87185 1049 1055 32027 54579
5040 793.183 2708 78824 1610 1076 22306 57726
5048 772.124 2132 53983 1579 547 32690 21315
5040 793.183 1441 58548 1029 417 22927 34983
5048 772.124 1736 55667 1432 0 39044 16710
5040 793.183 1119 46076 796 223 30568 14598
5048 772.124 2660 90234 1327 1047 44600 43809
5040 793.183 3040 78347 2643 263 40489 39170
5048 772.124 3178 74418 2753 407 50183 24085
5040 793.183 1622 71071 919 631 44913 27271
5048 772.124 4637 62054 1197 1743 37257 24693
5040 793.183 14223 76505 1060 201 37687 38926
5048 772.124 2473 44932 1805 513 33322 11188
5040 793.183 2704 63577 621 632 32691 30971
5048 772.124 2410 65605 2480 0 35903 29696
5040 793.183 645 64508 680 0 28420 35955
5048 772.124 1835 36602 1915 0 19117 16980
5040 793.183 2465 38276 2512 0 23528 14201
5048 772.124 3819 103154 2186 1593 45747 58093
5040 793.183 1488 36578 1170 322 27182 8962
5048 772.124 830 50818 766 0 23171 27364
5040 793.183 860 55789 596 293 22636 30859
5048 772.124 1433 63742 1174 345 26015 37194
5040 793.183 1369 59408 614 719 33952 24671
5048 772.124 2230 78159 904 566 39823 40009
5040 793.183 928 40677 603 263 19073 21678
5048 772.124 1543 42423 598 901 24734 18906
5040 793.183 5128 83363 3768 1003 38844 44109
5048 772.124 789 65219 751 0 42775 22225
5040 793.183 2367 66679 1915 514 31243 35574
5048 772.124 1877 97097 1403 486 54260 42443
5040 793.183 345 48227 24 348 30323 19015
5048 772.124 1668 82699 1114 513 42907 41028
5040 793.183 724 62203 85 562 22207 39504
5048 772.124 2045 104952 1547 446 39561 64807
5040 793.183 2125 90582 1550 633 23091 68814
5048 772.124 2370 76506 2029 341 33859 42462
5040 793.183 1738 59869 1114 580 26082 32805
5048 772.124 1459 35355 1516 0 32630 2520
5040 793.183 1693 60787 1192 411 27741 33007
5048 772.124 2021 64380 1918 190 35283 28231
5040 793.183 1605 68079 716 918 25460 42940
5048 772.124 2478 64626 1317 1030 24455 40513
5040 793.183 2304 42191 1670 619 28414 13506
5048 772.124 578 64868 549 0 38125 27413
5040 793.183 875 40913 577 272 16822 24728
5048 772.124 3023 57745 953 1945 34108 23856
5040 793.183 532 50853 280 316 19722 31294
5048 772.124 3127 74529 2017 1196 26405 48473
5040 793.183 2162 33518 2109 0 17954 14065
5048 772.124 1104 94138 570 446 24090 70569
5040 793.183 1580 65043 668 960 24096 40555
5048 772.124 1861 69423 856 975 32917 34638
5040 793.183 3072 39100 1639 783 31563 6542
5048 772.124 1698 63747 1116 669 28013 35408
5040 793.183 2362 76780 1698 639 20484 56550
5048 772.124 961 31356 799 208 25745 6656
5040 793.183 2429 60155 1732 721 19133 41307
5048 772.124 1244 98826 663 597 30586 66882
5040 793.183 2623 79419 2417 217 38420 40086
5048 772.124 1930 79695 1253 383 47177 32490
5040 793.183 1011 56519 978 0 35733 19179
5048 772.124 1469 46533 1310 214 33967 11996
5040 793.183 2227 84532 2081 0 54346 29913
5048 772.124 739 71549 519 206 37645 32716
5040 793.183 3667 79630 1529 1835 27384 51076
5048 772.124 4357 115746 2513 1634 42476 74020
5040 793.183 2290 85632 1427 788 36309 49458
5048 772.124 2564 56246 845 1119 30468 24041
5040 793.183 1417 36973 1335 0 28680 9390
5048 772.124 1570 52329 971 595 29113 23242
5040 793.183 3510 75272 2414 1103 31747 43753
5048 772.124 1061 74794 566 459 27177 46122
5040 793.183 1 26554 0 0 22509 3894
5048 772.124 1316 57596 883 358 23422 34328
5040 793.183 2761 79047 2019 749 24228 55313
5048 772.124 2323 75843 1409 873 21369 53618
5040 793.183 1369 61113 1095 268 23736 35730
5048 772.124 1958 59432 1750 277 17016 42534
5040 793.183 1364 58174 649 781 26753 32450
5048 772.124 1311 47455 1141 237 33165 13887
5040 793.183 4288 94264 2306 1871 36235 57038
5048 772.124 1614 50631 978 598 43423 7897
5040 793.183 2911 90272 1330 1348 23443 66212
5048 772.124 1846 87622 1299 501 43495 43903
