#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1144.92 321 10341 273 0 3496 7213
5048 1096.81 557 9017 342 141 6451 2351
5040 1144.92 585 6821 638 0 6813 0
5048 1096.81 576 13437 533 0 12904 0
5040 1144.92 675 19185 163 543 7158 11641
5048 1096.81 1358 30384 973 424 15194 15312
5040 1144.92 231 23484 14 268 9687 13513
5048 1096.81 17 23402 28 0 10037 13411
5040 1144.92 335 31794 302 0 6461 25379
5048 1096.81 652 21273 709 0 15928 4856
5040 1144.92 1398 15880 1430 0 8481 6510
5048 1096.81 586 40129 307 194 9503 31035
5040 1144.92 1498 28281 393 651 10462 18171
5048 1096.81 224 18773 239 0 15357 2950
5040 1144.92 1897 35925 1357 486 7987 28047
5048 1096.81 171 18098 127 0 7020 10687
5040 1144.92 64 22153 29 0 13302 8949
5048 1096.81 523 36752 438 0 15513 20985
5040 1144.92 6 26361 11 0 18012 7890
5048 1096.81 152 30455 147 0 12851 17619
5040 1144.92 212 32806 118 111 14640 18254
5048 1096.81 381 19583 329 0 12822 6240
5040 1144.92 80 19649 34 0 12060 7223
5048 1096.81 1323 25738 808 517 9706 16891
5040 1144.92 445 22353 242 211 14515 7609
5048 1096.81 596 24985 287 275 6002 18167
5040 1144.92 210 21720 18 177 10058 10599
5048 1096.81 511 14915 483 0 5582 8757
5040 1144.92 1511 16251 909 494 9868 5580
5048 1096.81 625 19920 600 0 15663 3822
5040 1144.92 221 16133 0 248 9001 6604
5048 1096.81 1113 13699 1049 0 10869 2797
5040 1144.92 751 23418 116 563 14032 9525
5048 1096.81 1199 27056 900 215 12564 14547
5040 1144.92 193 22692 155 0 8799 14471
5048 1096.81 1133 35715 889 177 12746 21607
5040 1144.92 1016 14388 964 0 9640 4802
5048 1096.81 1189 24127 1157 0 11275 12212
5040 1144.92 1479 26878 929 585 7155 19162
5048 1096.81 432 31765 500 0 9505 21082
5040 1144.92 776 12110 714 0 6138 5705
5048 1096.81 6 18726 6 0 8157 10462
5040 1144.92 201 16104 186 0 7572 7413
5048 1096.81 306 19011 192 156 7567 10726
5040 1144.92 907 12520 924 0 7994 4937
5048 1096.81 236 7180 256 0 6977 0
5040 1144.92 920 22126 304 571 5763 16349
5048 1096.81 874 15141 22 860 8493 6579
5040 1144.92 2670 17314 2532 0 6081 11355
5048 1096.81 375 18694 381 0 7252 10853
5040 1144.92 279 25594 307 0 15310 9859
