#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1079.18 1306 49348 462 829 10740 39471
5048 1078.1 490 50355 416 0 10504 40303
5040 1079.18 350 25452 23 320 12225 12693
5048 1078.1 773 33411 508 217 9734 22489
5040 1079.18 1994 32373 960 973 9034 22644
5048 1078.1 1217 47196 109 1074 12039 34138
5040 1079.18 -37 10215 0 0 6214 3450
5048 1078.1 917 49617 327 529 9503 40999
5040 1079.18 1689 26865 1696 0 6119 20897
5048 1078.1 445 14409 198 249 14054 0
5040 1079.18 1342 18178 428 968 8013 10530
5048 1078.1 2866 35578 1480 1407 15030 21469
5040 1079.18 91 18197 94 0 9560 8009
5048 1078.1 459 10627 196 188 4298 5939
5040 1079.18 375 36287 349 0 5789 30543
5048 1078.1 653 16609 256 366 12275 4297
5040 1079.18 2646 62187 1699 962 21136 40346
5048 1078.1 1474 8216 895 555 5905 2312
5040 1079.18 648 69438 32 589 6793 61985
5048 1078.1 2099 29821 683 1435 12143 16414
5040 1079.18 824 27075 811 0 15478 11931
5048 1078.1 191 24273 115 0 11066 12162
5040 1079.18 1603 67489 1812 0 22415 45182
5048 1078.1 918 62318 341 471 26364 35272
5040 1079.18 1381 24632 685 651 4331 19572
5048 1078.1 1682 29329 621 1029 6537 22265
5040 1079.18 866 34233 0 801 6052 28019
5048 1078.1 696 44752 102 637 5587 39445
5040 1079.18 468 57504 432 0 6272 51658
5048 1078.1 490 25455 0 474 3213 21537
5040 1079.18 909 27178 614 304 10998 15066
5048 1078.1 798 40612 326 466 14407 25482
5040 1079.18 1043 34998 946 0 20404 14366
5048 1078.1 1003 61382 0 1044 9964 51945
5040 1079.18 559 27618 522 0 7458 19981
5048 1078.1 1198 24946 170 1021 7333 17465
5040 1079.18 0 30194 0 0 12383 16734
5048 1078.1 1216 43870 865 291 12810 29959
5040 1079.18 363 26379 42 320 19824 6928
5048 1078.1 1124 24460 767 371 14891 9422
5040 1079.18 811 22138 118 653 8388 14409
5048 1078.1 701 47547 446 238 10648 37196
5040 1079.18 596 55501 172 415 18305 37118
5048 1078.1 570 29738 263 310 11973 18774
5040 1079.18 2076 64220 1525 500 19598 45307
5048 1078.1 493 33572 237 225 14549 19005
