#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 369.774 88273 71824 76319 9007 57197 14199
5048 382.542 94039 70033 81268 11382 50912 18332
5040 369.774 126184 83206 121046 9540 67388 14989
5048 382.542 107875 73465 98631 8081 59627 13458
5040 369.774 91224 78652 78739 11091 59969 18401
5048 382.542 86714 66556 77189 8172 50531 15489
5040 369.774 122276 91139 107161 10339 71368 18906
5048 382.542 109920 77235 96624 10611 59032 17697
5040 369.774 117434 86918 99892 11308 66293 20124
5048 382.542 102107 79750 92156 7476 62083 17216
5040 369.774 113515 88703 92850 11450 70057 18229
5048 382.542 98427 71106 86462 8153 54264 16110
5040 369.774 127932 84896 116557 9902 71200 13295
5048 382.542 104429 75290 94659 7581 62978 11839
5040 369.774 128882 89694 111633 13525 70957 17704
5048 382.542 93321 77644 80890 11000 59324 17673
5040 369.774 103043 85335 94356 11533 62806 21732
5048 382.542 97229 72352 85857 9629 52645 19268
5040 369.774 132724 87111 122760 7019 71018 15463
5048 382.542 113870 79149 98227 11787 63857 14306
5040 369.774 120754 86771 110773 8604 70023 15991
5048 382.542 108980 75982 92282 9344 59303 15776
5040 369.774 103204 90260 93089 9806 71657 18398
5048 382.542 99742 81919 88894 8963 65267 16108
5040 369.774 109280 88506 99511 9325 73157 14669
5048 382.542 108684 75500 99247 5803 60508 14391
5040 369.774 101431 81911 88328 10341 63736 17636
5048 382.542 102492 78251 87530 13774 58679 19067
5040 369.774 89744 75818 79606 8197 57949 17474
5048 382.542 80303 69526 68540 11743 49120 19695
5040 369.774 104628 90853 94250 8346 74471 15606
5048 382.542 106370 79653 95525 9336 61873 17250
5040 369.774 115344 80816 108560 7097 65752 14421
5048 382.542 105854 74794 98788 7281 62795 11286
5040 369.774 108072 79838 96970 10664 60719 17996
5048 382.542 88717 73340 77283 9355 55399 17311
5040 369.774 95431 86859 85169 10429 66112 20453
5048 382.542 86956 69466 75186 9777 53980 15294
5040 369.774 108562 83841 102041 11130 66441 16842
5048 382.542 82888 70742 72536 8794 55164 15116
5040 369.774 102846 85373 94492 8936 68364 16487
5048 382.542 95253 72777 83465 9950 56874 15261
5040 369.774 100188 86456 85320 12755 67462 18819
5048 382.542 103072 79371 92283 9392 61948 17134
5040 369.774 115794 81737 104794 9624 67737 13107
5048 382.542 110146 78178 99713 8822 63188 14436
5040 369.774 95249 77908 87632 7423 61995 14816
5048 382.542 102763 78160 93961 12121 60657 17182
5040 369.774 94350 77817 86221 8135 60596 16664
5048 382.542 96553 69369 84448 10761 54632 14258
5040 369.774 107145 87479 97582 10450 68811 17893
5048 382.542 112635 79228 101952 9490 62535 15660
5040 369.774 110947 73231 106828 7135 62118 10824
5048 382.542 92941 65249 85286 7125 52855 11948
5040 369.774 111972 90832 98898 10854 72197 18087
