#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 369.774 94465 73845 86479 7098 58483 14541
5048 382.542 85940 64475 74810 9122 49975 13985
5040 369.774 101530 73962 94024 6478 61572 11678
5048 382.542 95583 66699 86973 7134 54369 11852
5040 369.774 110495 80814 99416 8330 65535 14418
5048 382.542 96939 68295 86371 7621 55120 12583
5040 369.774 113283 79689 99410 8755 64506 14665
5048 382.542 92937 68237 86255 5744 55766 11822
5040 369.774 98028 70736 90993 4747 59650 10763
5048 382.542 84439 62314 76902 6577 51227 10487
5040 369.774 94403 66652 88746 5680 55405 10547
5048 382.542 75034 60819 67715 5150 52014 8278
5040 369.774 111257 80975 108935 8464 67672 12657
5048 382.542 99256 71766 92721 6500 60193 11042
5040 369.774 102248 70304 86386 8478 57521 12183
5048 382.542 85760 64670 76973 7579 50880 13427
5040 369.774 94682 67926 93583 7612 56429 10908
5048 382.542 76979 59853 71322 5440 48905 10525
5040 369.774 100598 76768 92669 9937 62428 13984
5048 382.542 93518 64982 83978 7037 53193 11248
5040 369.774 90299 75499 83166 7660 63622 11338
5048 382.542 79060 57629 71956 5142 46026 11108
5040 369.774 100670 76340 92850 7014 65570 10319
5048 382.542 101686 70593 91719 6896 57991 11819
5040 369.774 108901 74600 102500 6712 64071 10078
5048 382.542 82737 71109 73796 7551 57747 13159
5040 369.774 94132 71180 88483 5693 58515 12183
5048 382.542 89274 63922 78689 8282 52587 10815
5040 369.774 89772 69462 82560 5594 54251 14563
5048 382.542 78478 65423 69869 6998 52355 12638
5040 369.774 106908 71830 98457 8733 58835 12694
5048 382.542 89352 62089 83962 5446 51313 10402
5040 369.774 93584 77488 88589 6258 62599 14282
5048 382.542 83394 66176 73479 6174 54389 11104
5040 369.774 99400 67146 89388 9059 53897 12652
5048 382.542 91157 62289 76137 10565 47485 14271
5040 369.774 106107 76543 99859 4085 65080 10950
5048 382.542 92064 69908 87017 4943 58254 11412
5040 369.774 84061 60463 77791 5218 50472 9624
5048 382.542 87725 63033 79877 7938 51169 11393
5040 369.774 103754 79925 94672 7930 64983 14607
5048 382.542 91353 68534 81336 6662 55806 12513
5040 369.774 107621 79331 94592 11109 64424 14525
5048 382.542 103603 67494 94076 9594 54673 11916
5040 369.774 101444 78540 91135 7699 65085 12780
5048 382.542 96666 71725 87936 8064 59822 11483
5040 369.774 107342 78328 96599 9706 63358 14545
5048 382.542 99062 74950 88971 7927 61156 13178
5040 369.774 115407 82513 107792 9450 66589 15060
5048 382.542 84318 71935 75033 8198 58730 12935
5040 369.774 87150 72987 79428 6678 55296 17086
5048 382.542 79632 64355 69797 9579 50387 13511
5040 369.774 91240 73001 82058 7500 58003 14674
5048 382.542 83604 63923 75161 5746 50037 13300
5040 369.774 87645 66891 80417 4131 58411 8352
5048 382.542 78316 59146 73803 4762 49686 9267
5040 369.774 100036 77105 95973 7655 62719 14108
5048 382.542 77431 65631 67587 8174 52105 12922
5040 369.774 97917 84030 90601 6586 70639 12694
5048 382.542 88818 71995 82340 5971 57927 13573
5040 369.774 119294 76472 112216 6364 66090 9786
5048 382.542 110805 69978 104973 4119 60456 8979
5040 369.774 86652 71993 77623 8019 55629 15826
5048 382.542 77888 64643 70590 7665 50856 13337
5040 369.774 104948 82181 99690 8768 67500 14110
5048 382.542 97093 70282 91078 5570 58757 10846
5040 369.774 118473 85497 110079 7327 70809 14004
5048 382.542 98972 76770 95208 5897 63141 13267
5040 369.774 113273 86379 101490 9545 69129 16178
5048 382.542 92709 70193 83902 6777 56628 12963
5040 369.774 100913 73743 97791 7818 58090 15148
5048 382.542 80284 65318 73493 6634 53241 11596
5040 369.774 94486 79577 86946 6567 64171 14791
5048 382.542 83982 66810 77961 5332 52945 13687
5040 369.774 102506 71468 98980 3770 62971 7654
5048 382.542 100954 66240 95645 3877 58581 7095
5040 369.774 103247 79118 96977 8446 64195 14528
5048 382.542 102780 76607 89673 12026 60454 15959
5040 369.774 103043 71427 94665 7889 59903 11030
