#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 369.774 96807 77977 86492 9462 59096 18206
5048 382.542 89361 61616 79724 7062 47943 13018
5040 369.774 104780 79221 97613 6111 64702 13805
5048 382.542 96919 73497 87746 7893 59800 13053
5040 369.774 117961 80010 107754 9556 65921 13223
5048 382.542 92565 65219 85580 6866 55088 9630
5040 369.774 90079 69317 77916 9947 55160 13908
5048 382.542 99088 67721 87428 10632 51863 15381
5040 369.774 101656 70044 91046 8510 55550 13954
5048 382.542 85098 62464 76527 7449 48064 14004
5040 369.774 90362 70670 75521 10817 55778 14308
5048 382.542 76169 64918 64542 10067 49305 15276
5040 369.774 118962 91328 111771 12284 72061 18799
5048 382.542 111125 81256 97656 9964 60258 20419
5040 369.774 101148 80184 89543 9053 64916 14751
5048 382.542 91039 72090 80132 7710 55752 15710
5040 369.774 100701 75927 92357 6777 62636 12925
5048 382.542 96017 69727 87193 7665 55579 13532
5040 369.774 98515 78551 83176 12780 58578 19253
5048 382.542 85396 66751 76401 7932 50150 16203
5040 369.774 105244 85011 96652 8702 65972 18685
5048 382.542 96530 75625 84487 9379 59337 15544
5040 369.774 100832 73591 96158 6475 60116 12910
5048 382.542 97143 66247 87712 8335 53007 12687
5048 382.542 76819 64686 66848 9832 46432 17586
5040 369.774 82007 76032 71712 10643 56526 19123
5040 369.774 106466 72779 101902 6530 62714 9822
5048 382.542 91045 66613 82144 7394 55524 10708
5040 369.774 115340 82637 97131 12265 61784 20122
5048 382.542 91553 73531 82368 8087 55822 17317
5040 369.774 111217 81023 103409 9721 66107 14489
5048 382.542 100879 71511 90355 7473 58855 12126
5040 369.774 102965 77441 90682 10871 60236 16690
5048 382.542 81932 71437 71292 8715 55542 15315
5040 369.774 110319 86452 101165 7606 67716 18392
5048 382.542 96974 76400 86385 9598 58239 17634
5040 369.774 90075 70261 79427 8069 53868 15826
5048 382.542 76611 55446 72723 3878 44366 10530
5040 369.774 114748 86591 114528 8353 69728 16016
5048 382.542 100974 76528 92741 8022 64234 11650
5040 369.774 119748 65303 114979 2859 61257 3592
5048 382.542 96916 60006 92438 3234 55428 4217
5040 369.774 96197 70142 83366 10196 55470 14072
5048 382.542 81030 63126 70884 9583 47815 14704
5040 369.774 97401 74443 87092 9074 57342 16860
5048 382.542 88925 64946 78371 8754 49256 15331
5040 369.774 112635 87213 102454 8217 70544 16239
5048 382.542 101834 74977 89085 9586 57684 16885
5040 369.774 91702 71714 85481 6468 58634 12672
5048 382.542 79344 68971 67757 10522 53521 15110
5040 369.774 124964 88575 112996 10531 72585 15488
5048 382.542 107124 84970 96112 11391 65195 19217
5040 369.774 102889 77811 91085 12361 57105 20451
5048 382.542 74179 61381 63226 9468 45061 15992
5040 369.774 107350 76903 97055 8443 60708 15647
5048 382.542 87821 68439 81863 4658 56831 10997
5040 369.774 95562 78259 84904 10199 61837 15491
5048 382.542 96732 69775 85113 8432 53142 15880
5040 369.774 90716 69714 82059 7809 52234 17143
5048 382.542 76143 61331 66224 7731 47494 13357
5040 369.774 120272 86962 109408 11365 68492 17953
5048 382.542 93264 77481 85298 6478 59947 16718
5040 369.774 114010 84630 104747 9624 68684 15708
5048 382.542 92908 74936 80757 11613 57679 16980
5040 369.774 101615 83038 89643 10583 62216 19975
5048 382.542 89877 67368 80533 8513 51490 15570
5040 369.774 99322 84648 86141 10821 65048 19246
5048 382.542 98021 68406 87437 9772 52406 15259
5040 369.774 114922 79345 98696 9897 61784 17020
5048 382.542 87171 65808 75812 10157 49824 15142
5040 369.774 116044 81101 105440 8660 68294 12183
5048 382.542 93912 69656 83852 7432 55738 13502
5040 369.774 111470 85512 102495 10295 67550 17345
5048 382.542 96051 76384 85387 8855 61270 14600
5040 369.774 103335 88370 90987 11236 71053 16686
5048 382.542 95524 78297 84349 9684 61023 16599
5040 369.774 100132 77539 92350 8466 60064 17022
5048 382.542 86116 69510 78737 7059 53928 14876
