#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 994.511 4684 70316 4089 413 34789 35521
5048 1016.81 3092 89178 1211 951 43329 47109
5040 994.511 3559 78577 2258 708 43204 33292
5048 1016.81 2072 62160 1441 522 27225 34467
5040 994.511 1446 32091 1200 238 23088 8819
5048 1016.81 785 40866 539 276 40100 537
5040 994.511 3948 61352 3168 727 33906 26102
5048 1016.81 3545 52794 1308 2099 32208 20102
5040 994.511 4125 63713 2863 1295 36460 26525
5048 1016.81 1150 64601 596 564 39618 25335
5040 994.511 1614 49791 597 226 35873 12998
5048 1016.81 1860 50455 1711 215 38776 11865
5040 994.511 2988 47126 1138 432 27615 17996
5048 1016.81 856 44700 161 781 33013 11636
5040 994.511 1491 68655 1287 118 47582 19103
5048 1016.81 2274 69645 1499 651 42627 25717
5048 1016.81 2380 51465 1627 769 21691 30178
5040 994.511 2378 50937 2168 191 31552 18905
5040 994.511 871 31842 166 676 22154 10201
5048 1016.81 59 20012 5 0 15696 4366
5040 994.511 3501 39212 1680 583 24225 15374
5048 1016.81 1787 21020 669 175 14031 6073
5040 994.511 3746 69799 2402 928 34058 34957
5048 1016.81 1092 45076 754 294 21264 22809
5040 994.511 1971 49067 1431 186 45261 4280
5048 1016.81 938 40219 564 332 24127 16092
5040 994.511 2292 60771 1598 713 34358 26167
5048 1016.81 1954 39116 1488 415 24978 13496
5040 994.511 1136 60513 598 508 31738 27488
5048 1016.81 4119 55963 3360 842 29823 25742
5040 994.511 2208 65206 1148 973 48804 16795
5048 1016.81 2732 96193 2000 748 75025 21030
5040 994.511 3286 85723 2056 1121 30566 55405
5048 1016.81 4391 60772 3354 1004 39340 21414
5040 994.511 3471 59686 2111 601 33002 25446
5048 1016.81 3074 72779 2601 355 38920 33847
5040 994.511 2307 73878 1096 1135 36128 37273
5048 1016.81 1936 38731 1569 322 29509 9725
5040 994.511 1930 41992 857 385 28931 12412
5048 1016.81 1434 33959 992 495 27345 6077
5040 994.511 2422 51571 1450 575 35731 15584
5048 1016.81 1763 59198 819 877 41344 19158
5040 994.511 2294 91536 2055 340 48424 42921
5048 1016.81 2452 68344 1505 806 39336 30105
5040 994.511 2544 67047 2182 496 57342 9355
5048 1016.81 2020 76905 920 991 47654 29537
5040 994.511 3430 73774 2796 673 52606 19880
5048 1016.81 2948 73918 2124 826 55304 18784
5040 994.511 2598 59758 1795 215 27541 32135
5048 1016.81 1964 47467 1611 245 36076 11918
5040 994.511 2875 60620 2809 0 37514 23977
5048 1016.81 2249 113152 1346 819 52186 61131
5040 994.511 1381 65941 1182 164 34358 32360
5048 1016.81 1447 55251 939 513 38090 18062
5040 994.511 1633 75840 1427 247 34910 38794
5048 1016.81 2267 50256 1403 240 27301 22393
5040 994.511 6858 59902 2438 257 35414 23013
5048 1016.81 1910 62760 1642 256 41445 21468
5040 994.511 5772 64731 2347 103 31164 33103
5048 1016.81 2968 70472 1824 1159 36210 33421
5040 994.511 1648 80504 1234 369 52590 27747
5048 1016.81 1596 67940 843 682 42949 25296
5040 994.511 2457 67154 2004 442 52116 15488
5048 1016.81 770 56682 512 322 31444 22585
5040 994.511 841 36899 250 0 19779 16750
5048 1016.81 2360 49449 642 1719 27597 21628
5040 994.511 3208 52827 2076 438 35364 17849
5048 1016.81 2009 81353 1401 585 33307 46037
5040 994.511 2058 48061 1780 140 34321 13828
5048 1016.81 1958 47165 1818 97 29877 17138
5040 994.511 1451 74401 800 641 49074 24657
5048 1016.81 2778 56952 1523 1117 39565 16977
5040 994.511 1943 71158 1165 768 33368 37750
5048 1016.81 2023 76087 584 604 39942 36042
5040 994.511 2304 63296 1829 471 55664 7651
5048 1016.81 1564 69835 617 1012 35425 35396
5040 994.511 1765 47283 1502 268 32610 13572
5048 1016.81 1657 42846 1361 238 25817 16051
5040 994.511 2766 70862 1330 715 42613 27746
5048 1016.81 1478 60114 848 554 35939 23272
5040 994.511 1196 24373 1017 242 19295 5854
5048 1016.81 1412 38544 903 509 16650 21560
5040 994.511 4475 40114 1104 157 29590 10578
5048 1016.81 796 25801 585 220 16962 8784
5040 994.511 1956 48959 1305 482 24025 23683
5048 1016.81 3502 62909 2279 1278 41514 20301
5040 994.511 2655 69003 1701 649 48969 19522
5048 1016.81 2612 85858 1659 827 46596 38595
5040 994.511 2223 84128 1513 721 43262 40829
5048 1016.81 2681 59370 1884 899 45762 13284
5040 994.511 2858 60303 2236 432 35448 24337
5048 1016.81 832 31568 414 394 21657 9041
5040 994.511 1839 66430 1913 0 41812 22935
