#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1504.11 596 9592 142 439 8946 807
5048 1470.48 49 3197 16 0 2079 704
5040 1504.11 472 19928 418 0 10792 9595
5048 1470.48 1510 8310 765 796 3168 5073
5040 1504.11 0 2949 0 0 2469 0
5048 1470.48 367 12615 0 346 6217 5834
5040 1504.11 670 14516 453 231 5413 9509
5048 1470.48 72 5632 31 0 5594 0
5040 1504.11 248 6425 28 228 3472 2759
5048 1470.48 -39 8752 1 0 3568 5834
5040 1504.11 0 3096 0 0 2462 781
5048 1470.48 -1 7039 3 0 1560 4863
5040 1504.11 0 1414 0 0 1457 0
5048 1470.48 338 4377 289 0 4267 0
5040 1504.11 0 19119 0 0 2371 16515
5048 1470.48 0 2810 0 0 2767 0
5040 1504.11 440 15552 217 196 9408 5591
5048 1470.48 67 8677 72 0 1657 6179
5040 1504.11 0 5008 0 0 5093 0
5048 1470.48 161 1680 176 0 1590 0
5040 1504.11 49 9566 17 0 4018 4752
5048 1470.48 346 1268 335 0 1097 0
5040 1504.11 0 4529 0 0 4458 0
5048 1470.48 221 2289 238 0 2154 0
5040 1504.11 26 11002 1 0 3082 7140
5048 1470.48 68 6162 68 0 1475 4934
5040 1504.11 362 7203 157 198 2991 4173
5048 1470.48 67 2275 1 0 2413 0
5040 1504.11 188 9845 0 145 5199 4712
5048 1470.48 253 3639 199 0 1910 1809
5040 1504.11 337 7392 186 163 4252 2916
5048 1470.48 984 7615 935 0 2235 4996
5040 1504.11 0 4929 0 0 1574 3132
5048 1470.48 200 13760 0 173 6043 7640
5040 1504.11 -19 10589 11 0 11386 0
5048 1470.48 0 2625 0 0 2447 0
5040 1504.11 60 4105 93 0 2669 1198
5048 1470.48 0 2199 0 0 1936 0
5040 1504.11 0 3008 0 0 2957 0
5048 1470.48 0 9438 0 0 2752 6197
5040 1504.11 154 1518 108 0 1319 0
5048 1470.48 194 9120 0 209 7517 1645
5040 1504.11 42 5197 15 0 4949 0
5048 1470.48 405 8163 12 363 1965 5482
5040 1504.11 0 3663 0 0 943 2716
5048 1470.48 636 3583 0 623 2089 1134
5040 1504.11 0 9969 0 0 4723 5263
5048 1470.48 496 5963 426 0 4974 907
