#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1504.11 0 2044 0 0 1940 0
5048 1470.48 240 2598 243 0 2340 0
5040 1504.11 0 821 0 0 950 0
5048 1470.48 0 2415 0 0 2429 0
5040 1504.11 580 4474 349 0 2671 1295
5048 1470.48 20 10096 2 0 3403 6489
5040 1504.11 -23 5697 9 0 776 5073
5048 1470.48 94 6585 53 0 6048 0
5040 1504.11 0 3114 0 0 2595 0
5048 1470.48 568 12653 226 287 7379 5484
5040 1504.11 122 13321 4 118 6408 6341
5048 1470.48 151 1021 130 0 883 0
5040 1504.11 249 12020 15 200 1872 10104
5048 1470.48 669 2505 308 284 2168 237
5040 1504.11 183 9777 0 145 2864 6361
5048 1470.48 329 12901 47 253 4569 8279
5040 1504.11 493 10159 540 0 2000 8361
5048 1470.48 0 7499 0 0 4349 3179
5040 1504.11 0 7285 0 0 7610 0
5048 1470.48 552 7810 609 0 3262 4373
5040 1504.11 0 3896 0 0 567 3200
5048 1470.48 257 5395 0 265 2243 2798
5040 1504.11 116 9593 130 0 1645 7931
5048 1470.48 361 22429 0 299 10905 11842
5040 1504.11 217 6509 253 0 6416 0
5048 1470.48 98 13459 109 0 1847 10576
5040 1504.11 393 3090 0 0 2917 0
5048 1470.48 1453 6996 1208 269 504 6122
5040 1504.11 254 11742 262 0 7274 4540
5048 1470.48 1385 1996 246 0 1963 0
5040 1504.11 220 1766 0 0 1713 0
5048 1470.48 17 2182 5 0 2339 0
5040 1504.11 24 2664 17 0 2234 0
5048 1470.48 552 17286 14 479 6305 9825
5040 1504.11 335 22380 161 168 2825 18306
5048 1470.48 161 12818 0 206 2922 9524
5040 1504.11 224 3130 198 0 2952 0
5048 1470.48 312 1204 410 0 1254 0
5040 1504.11 291 4207 246 0 4477 0
5048 1470.48 92 9010 70 0 3863 4561
5040 1504.11 1009 5760 0 0 762 5166
5048 1470.48 870 2002 836 0 1970 0
5040 1504.11 0 3346 0 0 2753 964
5048 1470.48 -31 7034 0 0 7089 348
5040 1504.11 0 6863 0 0 2527 4446
5048 1470.48 -16 3325 1 0 1862 1328
5040 1504.11 0 9889 0 0 9851 0
5048 1470.48 0 759 0 0 899 0
5040 1504.11 227 6886 15 218 2001 4726
5048 1470.48 0 7252 0 0 2591 4789
5040 1504.11 142 1649 126 0 1686 0
5048 1470.48 159 12534 159 0 5182 6804
5040 1504.11 30 10434 12 0 3642 6790
5048 1470.48 -64 2833 0 0 2544 0
5040 1504.11 176 9379 226 0 3879 5287
5048 1470.48 0 11898 0 0 2820 9679
5040 1504.11 -23 8640 16 0 4020 4386
5048 1470.48 361 3172 62 0 3355 0
5040 1504.11 260 3675 345 0 2358 1361
5048 1470.48 298 3146 277 0 2987 0
5040 1504.11 202 3888 146 0 3657 0
5048 1470.48 -4 3008 2 0 3249 0
5040 1504.11 0 2899 0 0 3058 0
5048 1470.48 3 440 27 0 585 0
5040 1504.11 177 6359 197 0 6900 0
5048 1470.48 418 8124 397 0 3259 5120
5040 1504.11 189 3764 4 194 2503 931
5048 1470.48 286 18153 2 213 2072 16621
5040 1504.11 -36 5535 13 0 5376 0
5048 1470.48 326 11180 72 189 4175 6401
5040 1504.11 288 8135 270 0 3191 4671
5048 1470.48 0 8914 0 0 2080 7516
5040 1504.11 350 2445 187 139 2501 0
5048 1470.48 1252 7114 1191 0 7680 0
5040 1504.11 447 15205 247 221 4190 10678
5048 1470.48 681 18721 222 476 3026 15232
5040 1504.11 90 4093 11 0 4097 0
5048 1470.48 173 3187 0 133 534 2364
5040 1504.11 0 12652 0 0 6488 5352
5048 1470.48 0 2214 0 0 2225 0
5048 1470.48 366 4255 301 0 1340 2263
5040 1504.11 696 9851 705 0 3969 5407
5040 1504.11 91 3221 86 0 2703 0
5048 1470.48 -3 10100 27 0 3062 6272
5040 1504.11 -9 3875 1 0 2749 680
5048 1470.48 190 3983 188 0 3274 824
5040 1504.11 41 2502 65 0 2461 0
