#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1504.11 0 12748 0 0 2285 9752
5048 1470.48 662 11566 390 141 5732 6476
5040 1504.11 146 8395 29 130 2231 5876
5048 1470.48 531 8704 346 187 2943 5148
5040 1504.11 282 7845 40 203 2462 5565
5048 1470.48 -6 5319 14 0 932 4570
5040 1504.11 -9 5861 13 0 5914 0
5048 1470.48 137 6677 0 146 3240 3871
5040 1504.11 0 10465 0 0 9876 0
5048 1470.48 189 6790 155 0 3950 3056
5040 1504.11 0 1307 0 0 1431 0
5048 1470.48 91 16572 111 0 6690 9828
5040 1504.11 63 6262 0 102 934 5395
5048 1470.48 17 5066 19 0 588 4569
5040 1504.11 337 8764 325 0 3234 5308
5048 1470.48 854 17693 0 890 6339 10260
5040 1504.11 0 10826 0 0 5875 4898
5048 1470.48 387 5400 325 0 5213 0
5040 1504.11 717 6689 669 0 1543 5346
5048 1470.48 20 8373 14 0 3661 4942
5040 1504.11 41 1330 19 0 966 0
5048 1470.48 0 5305 0 0 5373 0
5040 1504.11 244 1455 6 212 684 609
5048 1470.48 0 1983 0 0 2250 0
5040 1504.11 0 7457 0 0 1864 5597
5048 1470.48 0 15057 0 0 3685 10761
5040 1504.11 178 7514 169 0 2018 6178
5048 1470.48 951 6027 670 0 4696 1085
5040 1504.11 50 9351 4 0 2820 6707
5048 1470.48 430 14005 366 0 7804 5928
5040 1504.11 793 5946 490 313 1225 4423
5048 1470.48 439 21772 459 0 15372 5975
5040 1504.11 0 4576 0 0 2887 1860
5048 1470.48 866 14656 383 455 7142 7007
5040 1504.11 0 7313 0 0 4547 2623
5048 1470.48 57 9399 11 0 5703 3688
5040 1504.11 117 9394 85 0 7846 1788
5048 1470.48 216 5753 20 181 3786 2098
5040 1504.11 162 11586 23 123 7342 4423
5048 1470.48 -5 6587 9 0 3310 3248
5040 1504.11 147 8765 0 163 3663 5216
5048 1470.48 678 4150 0 0 3669 0
5040 1504.11 0 3059 0 0 1996 507
5048 1470.48 347 9157 399 0 3748 5540
5040 1504.11 0 3106 0 0 2921 0
5048 1470.48 627 9023 384 196 3380 6309
5048 1470.48 29 11642 5 0 3181 8952
5040 1504.11 0 1005 0 0 876 0
5040 1504.11 512 4346 508 0 1985 2183
5048 1470.48 324 15171 182 154 5266 10105
5040 1504.11 4 4108 2 0 3779 0
5048 1470.48 134 6057 56 0 5662 0
5040 1504.11 404 14851 369 0 8453 5556
