#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5048 242.745 1489 154208 1400 68 127493 26480
5040 199.383 1398 152505 1246 108 127573 24577
5048 242.745 909 99960 819 58 80874 19067
5040 199.383 2216 223124 2063 71 212096 21799
5048 242.745 1285 135375 1260 49 119770 15248
5048 242.745 1031 127763 980 23 113221 14191
5040 199.383 2196 205067 2080 44 188084 20408
5040 199.383 2084 211994 1927 89 192916 26507
5048 242.745 1355 130551 1259 37 112127 17769
5040 199.383 1654 165647 1536 54 149588 15763
5048 242.745 914 103223 803 25 90967 12231
5040 199.383 1819 198323 1718 80 177254 22246
5048 242.745 951 115589 828 53 101166 14141
5040 199.383 1482 156668 1381 54 135194 21307
5048 242.745 814 85734 650 45 70082 16027
5040 199.383 1921 191427 1832 45 172784 19886
5048 242.745 1168 112391 1058 42 95717 16062
5040 199.383 1790 178108 1681 60 157585 20588
5048 242.745 1021 105806 907 41 88694 16635
5040 199.383 1654 179447 1501 60 157090 22489
5048 242.745 913 105046 841 29 86662 18202
5040 199.383 1687 165587 1585 57 142547 22785
5048 242.745 987 116945 916 27 102351 13872
5040 199.383 2763 246271 2606 92 251623 24463
5048 242.745 1629 152102 1476 72 133588 18349
5040 199.383 6350 356631 6003 195 576932 51727
5048 242.745 1712 186557 1581 65 165628 20570
5040 199.383 2578 239582 2460 80 233722 28056
5048 242.745 1457 143413 1342 50 125076 17796
5040 199.383 1977 187275 1855 64 169266 18177
5048 242.745 1026 107106 926 25 93065 13370
5040 199.383 1578 184266 1424 83 162154 23675
5048 242.745 938 108046 805 57 90885 16845
5040 199.383 1700 190082 1646 52 168943 21457
5048 242.745 940 108094 824 37 92061 15709
5040 199.383 2086 196133 1908 95 177222 20416
5048 242.745 1239 124513 1145 52 109562 14111
5040 199.383 1947 200090 1768 109 178721 24972
5048 242.745 1129 118670 1043 40 101184 17207
5048 242.745 1542 150432 1411 45 131761 18487
5040 199.383 2595 245002 2393 63 248704 22000
5040 199.383 1830 198857 1732 63 176831 23547
5048 242.745 1002 120798 938 44 101827 18729
5040 199.383 1880 193970 1762 54 176545 19076
5048 242.745 1106 112635 1028 38 96816 15262
5040 199.383 3158 258598 2982 146 264561 33122
5048 242.745 1898 183039 1764 55 158018 24872
5040 199.383 2705 249086 2546 105 242520 35416
5048 242.745 1578 155973 1406 90 134448 21186
5040 199.383 2422 228005 2247 90 216569 24957
5048 242.745 1189 129123 1119 38 113735 15157
5040 199.383 1918 203152 1764 95 178905 26833
5048 242.745 1058 120931 961 50 101254 19392
5040 199.383 2465 233209 2357 94 225812 21865
5048 242.745 1503 151283 1362 47 133138 17552
5040 199.383 1496 174187 1405 75 154569 20113
5048 242.745 1055 110578 946 36 98247 11771
5040 199.383 1287 147771 1293 51 127305 19974
5048 242.745 803 87414 737 26 73931 12989
5048 242.745 1094 125357 1011 53 108852 15975
5040 199.383 2387 222627 2274 50 218267 19095
5040 199.383 1536 156583 1455 66 136608 19585
5048 242.745 1082 100602 897 61 86227 14133
5040 199.383 2137 197127 2033 79 175362 23875
5048 242.745 1072 116506 995 43 99813 16235
5040 199.383 1957 204609 1789 81 181395 24691
5048 242.745 1071 116385 882 63 93224 22760
5040 199.383 1353 151913 1232 95 127517 24158
5048 242.745 942 99635 798 60 80777 18946
5040 199.383 2571 233269 2355 97 227106 26016
5048 242.745 1374 136170 1202 76 114793 21200
5040 199.383 2275 220711 2121 89 202185 26138
5048 242.745 1416 135565 1272 35 119674 15342
5040 199.383 6826 366551 6486 205 602789 59759
5048 242.745 1919 193506 1779 54 171383 21601
5040 199.383 3244 257492 2969 111 275278 30149
5048 242.745 1631 176842 1508 79 155689 20427
5040 199.383 2058 213779 1910 59 195728 23915
5048 242.745 1264 131299 1187 41 112135 18722
5040 199.383 1853 190212 1698 48 172508 21046
5048 242.745 1041 114195 935 74 98181 15529
5040 199.383 2911 252968 2744 102 267735 26818
5048 242.745 1496 158708 1396 34 143606 14420
5040 199.383 2245 232272 2115 88 225325 25611
5048 242.745 1338 141767 1245 56 122980 18135
5040 199.383 2022 202634 1815 103 176142 27585
5048 242.745 1150 116617 1068 48 98285 17702
5040 199.383 2419 219991 2289 57 210994 19476
5048 242.745 1237 121287 1159 37 105219 15731
5040 199.383 1931 217458 1835 90 195783 30155
5048 242.745 1309 124208 1130 72 106293 17320
5040 199.383 1416 154402 1366 33 140110 14605
5048 242.745 804 89210 712 19 79965 8773
#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 1904 178019 1795 72 158045 19829
5048 242.745 1006 98398 922 25 82954 15396
5040 199.383 1684 164577 1558 65 144591 19645
5048 242.745 866 96279 788 44 80777 15150
5040 199.383 2014 204126 1842 91 182072 26122
5048 242.745 1098 122874 1031 29 109994 12913
5040 199.383 1824 198021 1613 81 171505 27371
5048 242.745 1037 117639 852 52 97624 19619
5040 199.383 1524 169380 1397 92 145463 23858
5048 242.745 901 98411 817 33 80234 17388
5040 199.383 2314 225127 2220 61 212609 20662
5048 242.745 1328 135504 1205 31 122313 12896
5040 199.383 2473 243348 2306 85 233037 29286
5048 242.745 1380 152461 1288 52 131904 20776
