#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1509.6 341 18948 368 0 13919 5235
5048 1543.78 235 3496 292 0 2461 861
5040 1509.6 366 17317 208 168 8366 9493
5048 1543.78 257 30090 121 158 16543 12946
5040 1509.6 10 10003 32 0 5851 4425
5048 1543.78 79 9785 54 0 9002 652
5040 1509.6 204 27218 185 0 20965 6003
5048 1543.78 134 5081 134 0 5314 0
5040 1509.6 119 14759 84 0 5580 8989
5048 1543.78 743 22343 457 230 7923 14300
5040 1509.6 650 27292 363 197 4445 22151
5048 1543.78 695 19251 647 0 8756 9955
5040 1509.6 782 22295 247 548 8255 13113
5048 1543.78 50 6650 35 0 5357 1132
5040 1509.6 713 16467 458 186 8245 8109
5048 1543.78 939 22542 482 376 10268 12006
5040 1509.6 111 14672 85 0 14532 0
5048 1543.78 3037 19430 2481 554 8337 11215
5040 1509.6 1418 13042 1359 0 7589 5196
5048 1543.78 243 19009 68 195 7569 10920
5040 1509.6 446 25129 364 181 16813 8472
5048 1543.78 652 9243 136 468 5196 3684
5040 1509.6 526 26370 137 340 15449 10354
5048 1543.78 84 19558 91 0 8599 12128
5040 1509.6 412 14516 105 267 11356 3366
5048 1543.78 914 9679 994 0 9488 0
5040 1509.6 372 10424 200 0 6743 4205
5048 1543.78 332 6188 320 0 6201 0
5040 1509.6 690 29893 666 0 16416 13409
5048 1543.78 608 11504 579 0 10871 0
5040 1509.6 990 20357 409 491 8307 11720
5048 1543.78 171 14462 35 110 5192 9525
5040 1509.6 745 9240 768 0 9478 0
5048 1543.78 537 21996 155 351 6913 13833
5040 1509.6 548 23212 130 425 8991 14997
5048 1543.78 393 22857 396 0 16490 6103
5040 1509.6 11 10898 22 0 8000 2372
5048 1543.78 -10 6301 11 0 6031 0
5040 1509.6 551 12778 317 211 3624 9031
5048 1543.78 43 12832 28 0 7010 5832
5040 1509.6 1518 18467 929 615 13118 4875
5048 1543.78 -31 19422 28 0 14260 5125
5040 1509.6 409 7607 57 0 7607 0
5048 1543.78 0 11715 0 0 8842 3115
5040 1509.6 1083 8039 43 791 7976 105
5048 1543.78 250 3870 226 0 3819 0
5040 1509.6 497 16224 297 208 8796 6716
5048 1543.78 1197 22368 429 535 8230 14737
5040 1509.6 1312 36332 289 968 14490 21557
5048 1543.78 722 7100 778 0 6872 0
5040 1509.6 192 25734 104 128 10780 14757
5048 1543.78 1275 11510 738 542 4550 7174
