#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 995.688 390 14865 170 351 7796 6811
5048 1012.68 320 17635 332 0 12838 4638
5040 995.688 572 11981 397 162 8780 2792
5048 1012.68 680 7508 661 0 6629 715
5040 995.688 519 22190 479 123 6670 14746
5048 1012.68 -23 9731 9 0 9447 0
5040 995.688 536 10629 448 0 7363 2989
5048 1012.68 408 12937 355 0 5986 7170
5040 995.688 964 11689 801 198 6612 5806
5048 1012.68 43 8680 33 0 3174 5936
5040 995.688 1116 22690 893 176 14788 7855
5048 1012.68 741 9414 684 0 7776 1786
5040 995.688 627 20256 55 552 12839 7196
5048 1012.68 35 6445 4 0 6225 53
5040 995.688 744 18440 477 173 9779 8307
5048 1012.68 1143 16326 1078 0 16481 0
5040 995.688 1341 14516 807 516 7098 7846
5048 1012.68 126 11484 20 70 9014 2489
5040 995.688 123 12249 96 0 7580 4405
5048 1012.68 203 7768 198 0 8184 0
5040 995.688 1179 23041 346 684 10615 11661
5048 1012.68 886 16267 305 560 8381 7173
5040 995.688 231 25587 200 0 16205 9012
5048 1012.68 467 7579 286 187 3923 3873
5040 995.688 627 19189 237 339 10348 8780
5048 1012.68 26 19908 20 0 12248 8035
5040 995.688 434 16302 314 184 5707 9785
5048 1012.68 630 11696 212 391 6998 5302
5040 995.688 151 10645 129 0 6031 4702
5048 1012.68 1202 21387 818 326 11263 10866
5040 995.688 386 11107 61 262 7152 3991
5048 1012.68 560 13899 296 247 9087 4747
5040 995.688 228 22053 17 236 15789 6357
5048 1012.68 1750 35517 1036 630 11226 23510
5040 995.688 280 29548 261 0 15588 13807
5048 1012.68 390 14040 337 0 8050 5112
5040 995.688 710 25225 608 0 13519 12359
5048 1012.68 114 7731 111 0 7807 0
5040 995.688 218 14305 19 221 6082 7586
5048 1012.68 1312 9002 1000 265 8375 318
5040 995.688 495 14407 271 199 3675 10108
5048 1012.68 357 19803 0 404 11154 7943
5040 995.688 342 21608 1 0 12584 8359
5048 1012.68 512 14167 530 0 11000 2926
5040 995.688 819 16209 517 305 12654 4019
5048 1012.68 620 16599 430 163 15116 1279
5040 995.688 654 12784 498 151 5078 6658
5048 1012.68 182 19552 220 0 6722 11938
5040 995.688 91 12483 72 0 6990 5495
5048 1012.68 299 12076 349 0 5790 6059
5040 995.688 148 6701 167 0 5217 1682
5048 1012.68 1120 19985 915 220 9105 10563
5048 1012.68 903 12050 634 230 6218 5811
5040 995.688 838 10317 307 494 8057 1973
5040 995.688 819 40382 576 206 13358 26622
5048 1012.68 399 22514 368 0 12362 9058
5040 995.688 424 10150 326 0 9917 500
5048 1012.68 881 15298 516 443 7633 7453
5040 995.688 1318 16332 1221 0 6487 9844
5048 1012.68 112 5605 57 0 4370 1221
5040 995.688 1096 21844 1102 0 21059 0
5048 1012.68 524 13157 463 0 13047 0
5040 995.688 220 12046 248 0 12208 0
5048 1012.68 277 6013 273 0 6222 0
5040 995.688 203 15034 6 193 8227 6364
5048 1012.68 663 17819 60 620 10732 6840
5040 995.688 1302 41081 544 648 17828 23730
5048 1012.68 189 20298 247 0 8398 13385
5048 1012.68 767 9689 575 137 7488 1926
5040 995.688 642 22779 72 543 13827 8593
5040 995.688 899 32469 589 404 9966 21397
5048 1012.68 210 20959 264 0 3544 17881
5040 995.688 337 18539 373 0 13022 5392
5048 1012.68 106 19526 74 0 14151 5097
5040 995.688 799 10955 756 0 6470 4268
5048 1012.68 1118 14889 764 326 10910 3467
5040 995.688 431 19698 489 0 9060 9750
5048 1012.68 185 22840 216 0 10852 11306
5040 995.688 1353 22680 232 1052 5741 17803
5048 1012.68 944 27768 538 426 11763 15455
5040 995.688 979 19467 739 237 8787 10415
5048 1012.68 633 15636 74 470 7534 7785
5040 995.688 426 25813 230 208 8231 16696
5048 1012.68 218 7669 166 0 4935 2003
5040 995.688 491 11211 338 167 7899 3610
5048 1012.68 906 16847 886 0 7725 9280
5040 995.688 403 15198 386 0 8829 6343
5048 1012.68 390 21331 352 0 20262 70
5040 995.688 244 17486 52 190 6337 11242
5048 1012.68 617 27976 100 517 9004 17478
5040 995.688 343 21784 108 171 6754 14452
5048 1012.68 480 11003 431 0 10755 0
5040 995.688 1166 6530 465 0 6249 0
5048 1012.68 822 13235 604 165 6106 7336
5040 995.688 572 18547 401 178 8157 9982
5048 1012.68 529 24885 145 382 16852 6777
5040 995.688 602 15706 180 490 5155 9936
5048 1012.68 330 10257 296 0 4094 5808
5040 995.688 594 14906 245 320 5840 9217
5048 1012.68 586 18849 220 284 10830 7880
5040 995.688 626 16022 469 141 12732 3319
5048 1012.68 718 7543 658 0 7295 0
5040 995.688 960 23622 849 0 7640 15393
5048 1012.68 765 11644 338 412 4350 6839
5040 995.688 493 14515 531 0 14397 0
5048 1012.68 215 14057 175 0 4617 9504
5040 995.688 774 10605 762 0 10771 0
5048 1012.68 21 7757 8 0 6270 1015
5040 995.688 510 23504 442 0 23015 0
5048 1012.68 840 15003 831 0 14728 0
5040 995.688 1177 11588 1236 0 5894 5382
5048 1012.68 678 7510 556 167 7435 588
5040 995.688 380 13864 184 182 7857 5656
5048 1012.68 632 14657 138 415 7548 6068
5048 1012.68 197 28878 212 0 9207 19901
5040 995.688 655 10743 657 0 10584 0
5040 995.688 1144 32699 959 175 16860 16653
5048 1012.68 1247 31711 530 0 9159 22434
5040 995.688 1419 27916 629 677 7429 20214
5048 1012.68 1205 17915 1243 0 6410 11472
5040 995.688 531 19334 539 0 11637 7458
5048 1012.68 873 16243 616 199 6528 9573
5040 995.688 379 32453 157 219 10398 22057
5048 1012.68 907 21829 427 387 6422 13820
5040 995.688 741 14758 719 0 8246 6138
5048 1012.68 677 42525 624 0 34864 7440
5040 995.688 536 22232 167 359 5664 16668
5048 1012.68 205 18015 240 0 9722 7922
5040 995.688 398 23057 297 0 8188 14329
5048 1012.68 637 31204 197 465 12180 19442
5040 995.688 85 21184 86 0 6179 14716
5048 1012.68 34 26000 17 0 16048 9248
5040 995.688 464 15095 429 0 8594 6011
5048 1012.68 649 16435 565 146 7802 8115
5040 995.688 585 13601 157 363 8697 4772
5048 1012.68 359 8201 400 0 8160 0
5040 995.688 1072 14813 1067 0 14894 0
5048 1012.68 435 21138 74 330 13706 8685
5040 995.688 263 16938 301 0 11884 5049
5048 1012.68 54 10583 26 0 9917 0
5040 995.688 373 8682 320 0 8510 0
5048 1012.68 873 21028 881 0 11720 9926
5048 1012.68 990 20944 727 235 8230 12218
5040 995.688 890 22001 661 164 9219 12464
5040 995.688 478 26240 76 385 19281 7193
5048 1012.68 703 13225 278 382 9015 4171
5040 995.688 788 29876 449 254 12629 17204
5048 1012.68 938 52666 689 163 27414 26263
5040 995.688 417 29295 194 207 7313 21823
5048 1012.68 808 9632 759 0 6526 2705
5040 995.688 432 10363 389 0 4511 5743
5048 1012.68 893 21298 258 604 11739 10379
5040 995.688 1608 20167 1528 0 15717 3922
5048 1012.68 1080 8965 1014 0 8247 414
5040 995.688 1316 10547 1322 0 7864 2618
5048 1012.68 593 33393 84 444 13159 18628
5040 995.688 938 21256 240 751 12270 7983
5048 1012.68 530 12683 459 0 7462 5170
5040 995.688 582 18379 507 0 7038 10117
5048 1012.68 105 9207 112 0 7262 1815
5040 995.688 1347 20261 953 318 11880 8284
5048 1012.68 478 10161 477 0 10239 0
5040 995.688 422 38624 48 370 16595 22394
5048 1012.68 23 29270 31 0 13651 15030
5040 995.688 766 16496 487 0 11633 3653
5048 1012.68 647 14182 382 237 8549 4959
#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 995.688 440 20296 30 355 9735 9964
5048 1012.68 76 12496 51 0 12338 0
5040 995.688 164 16806 151 0 10346 5733
5048 1012.68 279 21000 245 0 8092 13355
5040 995.688 284 21861 326 0 9988 11788
5048 1012.68 217 31860 245 0 8082 23720
5040 995.688 787 20770 902 0 10187 11809
5048 1012.68 523 22248 494 0 10301 11101
5040 995.688 253 12404 22 222 6710 5525
5048 1012.68 1204 26528 784 462 10893 15299
5040 995.688 132 22026 149 0 12328 9600
5048 1012.68 1029 14053 977 0 13268 0
5040 995.688 1347 10997 1321 0 10803 0
5048 1012.68 122 16906 116 0 10451 6864
5040 995.688 339 23642 367 0 10453 13720
5048 1012.68 69 15316 96 0 9699 5290
5040 995.688 959 20183 99 730 9830 9966
5048 1012.68 679 15197 278 377 13254 2539
5040 995.688 1139 21878 865 184 12090 9831
5048 1012.68 654 26905 329 378 17020 9478
5040 995.688 1331 29753 1076 146 23915 5717
5048 1012.68 1002 24618 1004 0 7798 15844
5040 995.688 802 19146 568 217 9203 10234
5048 1012.68 574 24463 528 0 9527 14678
5040 995.688 557 16172 595 0 8881 6407
5048 1012.68 1334 12093 908 444 6741 4845
