#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 917.127 647 75227 145 532 16031 58923
5048 960.369 1617 65723 435 1093 22156 43867
5048 960.369 120 26391 161 0 12995 13942
5040 917.127 97 19835 86 0 11614 8231
5040 917.127 3804 80994 2288 1323 36533 42597
5048 960.369 3296 41158 2782 438 21749 18386
5040 917.127 2558 77727 1210 1212 18533 58280
5048 960.369 1241 25705 1134 0 18769 6960
5040 917.127 1963 30473 1158 914 14073 16752
5048 960.369 402 53433 67 331 19696 33365
5040 917.127 1381 41979 1136 248 27934 12476
5048 960.369 1444 48807 479 0 16423 31760
5040 917.127 1216 37864 133 1078 12073 25715
5048 960.369 516 31572 37 553 9915 20426
5040 917.127 3050 38002 1940 0 20351 15960
5048 960.369 1399 55786 1140 289 19466 34764
5040 917.127 647 56056 636 0 26013 29816
5048 960.369 98 27877 111 0 9895 18022
5040 917.127 2329 72565 1280 1077 15166 56508
5048 960.369 1021 33106 972 0 14341 18485
5040 917.127 2295 66767 1994 218 29500 36786
5048 960.369 599 45058 355 238 13004 32788
5040 917.127 1952 59676 893 997 19650 39708
5048 960.369 873 42031 667 219 23595 18829
5040 917.127 2264 76526 1553 824 27825 47452
5048 960.369 1940 52750 1372 692 24377 27470
5040 917.127 749 24949 392 360 17021 7539
5048 960.369 1227 35520 1288 0 23337 11778
5040 917.127 363 49644 333 0 16110 32407
5048 960.369 263 25912 324 0 11292 14935
5040 917.127 1348 34061 1006 391 23791 10708
5048 960.369 683 47837 385 232 18238 29119
5040 917.127 1531 60151 950 612 30844 28693
5048 960.369 1393 41544 1133 224 11424 30239
5040 917.127 1364 61566 1025 243 25770 34297
5048 960.369 2523 64546 694 1706 20351 43235
5040 917.127 566 26632 298 272 14130 11149
5048 960.369 1321 48096 833 455 13080 33807
5040 917.127 599 70209 432 165 34468 34450
5048 960.369 893 54674 346 0 26449 26557
5040 917.127 796 70163 247 501 17763 50907
5048 960.369 728 37326 634 215 11600 24945
5040 917.127 131 48516 78 0 31146 15902
5048 960.369 565 43186 239 253 13274 29705
5040 917.127 1255 56123 627 551 21641 34677
5048 960.369 644 46415 490 184 14928 31593
5040 917.127 772 32881 508 244 21631 10126
5048 960.369 2096 27462 1753 431 13350 13432
5040 917.127 1179 59735 246 860 12736 46366
5048 960.369 218 47591 177 0 12117 36147
5048 960.369 1009 41922 945 0 25072 16774
5040 917.127 679 39448 623 0 21942 16608
5040 917.127 2355 31811 1291 1056 22932 8988
5048 960.369 798 55643 599 234 29813 25461
5040 917.127 1052 43313 562 463 29802 12159
5048 960.369 1240 33141 395 859 15608 17317
5040 917.127 1242 58437 374 865 24771 34009
5048 960.369 654 29713 649 0 17771 11812
5040 917.127 2747 75342 1731 988 17341 57608
5048 960.369 1226 65328 321 942 25556 41410
5040 917.127 893 52506 139 797 16494 36093
5048 960.369 547 25090 502 0 6788 18150
5040 917.127 365 45791 373 0 13807 32227
5048 960.369 1254 45900 989 247 14277 31241
5040 917.127 1704 57731 395 1309 18820 37112
5048 960.369 1753 69508 1488 329 24479 43443
5040 917.127 1489 64913 1445 0 26268 39690
5048 960.369 1662 62463 592 1159 23522 36784
5040 917.127 1760 40472 1202 521 14364 26305
5048 960.369 146 35896 234 0 15123 19338
5040 917.127 1642 66571 633 1026 22561 43418
5048 960.369 1259 58457 1021 134 14415 42032
5040 917.127 1024 60699 424 552 14930 46712
5048 960.369 782 38274 471 298 14284 22613
5048 960.369 1652 46890 749 814 13738 34140
5040 917.127 744 39641 59 679 14575 25251
5040 917.127 3196 40757 1946 1215 11097 29148
5048 960.369 1019 44869 741 307 8210 36470
5040 917.127 1673 51548 398 1197 15745 35186
5048 960.369 695 42567 673 0 18058 23857
5040 917.127 2627 42439 1233 747 13959 28953
5048 960.369 1920 46027 1354 603 16714 28761
5040 917.127 2373 38179 1635 698 27139 11159
5048 960.369 914 46842 618 336 20706 26377
5040 917.127 544 32779 370 243 15160 16713
