#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 917.127 2551 49008 838 994 20402 28027
5048 960.369 548 40306 2 548 13463 26321
5040 917.127 1119 52070 140 1037 21509 30334
5048 960.369 841 54018 2 802 19796 34999
5048 960.369 1595 34289 729 869 12334 21205
5040 917.127 1005 25237 812 190 12247 13094
5040 917.127 1822 81246 372 1472 36674 44585
5048 960.369 1352 50353 789 542 17884 31799
5040 917.127 1209 37675 867 293 16849 19770
5048 960.369 842 47726 879 0 22948 25107
5040 917.127 1260 29252 622 536 10629 17421
5048 960.369 1547 22232 1041 516 12125 10258
5040 917.127 780 46113 36 752 6553 38310
5048 960.369 558 18287 638 0 4916 12536
5040 917.127 2584 85908 690 1844 30686 53956
5048 960.369 2007 33357 1939 0 18725 14679
5040 917.127 2252 37109 1523 572 10771 26263
5048 960.369 365 21239 54 266 11438 9632
5040 917.127 1416 70835 917 569 24527 43965
5048 960.369 1208 38537 1210 0 25237 12937
5040 917.127 1018 38603 728 305 17897 20708
5048 960.369 2172 30352 887 1220 8161 21842
5040 917.127 2432 58774 2015 353 20668 37573
5048 960.369 505 78829 0 491 23553 56918
5040 917.127 2320 82233 1673 568 35720 44699
5048 960.369 1873 51526 983 954 16214 34580
5040 917.127 1521 46046 927 647 8636 37109
5048 960.369 770 59034 299 499 11957 47092
5040 917.127 779 32994 308 0 17873 15447
5048 960.369 1614 44736 1297 313 19879 25135
5040 917.127 777 37501 423 331 15539 22471
5048 960.369 1406 17925 595 792 7976 10053
5040 917.127 902 34509 629 362 12214 21723
5048 960.369 1277 31859 1145 0 19765 12545
5040 917.127 3157 46691 2355 875 19078 26703
5048 960.369 976 28218 917 0 14331 13959
5040 917.127 326 25911 382 0 18048 8688
5048 960.369 484 37673 165 278 20765 16519
5040 917.127 575 46446 256 284 15998 30289
5048 960.369 825 47714 431 400 14529 32259
5040 917.127 2775 76240 1658 1037 26786 48356
5048 960.369 1050 47058 653 381 19028 26522
5040 917.127 917 42888 597 280 13617 29241
5048 960.369 1253 57921 772 535 19871 37495
5040 917.127 1393 67505 1021 287 24302 42189
5048 960.369 1955 63419 1100 819 29622 34006
5040 917.127 1820 50717 715 1124 19832 30829
5048 960.369 1508 42086 823 656 10753 29318
5040 917.127 1131 35078 1165 0 13797 21418
5048 960.369 28 18349 3 0 7144 11048
5040 917.127 1699 26893 1278 518 14606 12014
5048 960.369 1064 37405 794 262 12673 24244
5040 917.127 1503 34085 955 570 16556 17535
5048 960.369 154 40927 3 231 12289 28902
5040 917.127 1517 46646 704 770 13322 32864
5048 960.369 477 23268 268 201 12196 10326
5040 917.127 1545 31045 1101 189 14162 16306
5048 960.369 91 23457 189 0 8888 13740
5040 917.127 780 38859 249 433 17440 20315
5048 960.369 866 12740 277 628 10457 1711
5040 917.127 4515 67255 160 2290 12800 53501
5048 960.369 961 28862 73 213 21336 7844
5040 917.127 2650 98349 1188 1409 29642 67757
5048 960.369 1398 38706 1165 240 18348 19172
5040 917.127 2483 34454 2198 209 25032 9943
5048 960.369 185 41800 11 149 17772 23925
5040 917.127 381 27734 212 169 16975 10830
5048 960.369 692 34549 263 447 19739 14347
5040 917.127 1611 40788 236 1358 22843 18321
5048 960.369 1049 58230 353 554 30175 27993
5040 917.127 557 40344 379 162 17504 22725
5048 960.369 1023 39447 667 367 15435 23988
5040 917.127 1290 22598 1159 0 14252 7744
5048 960.369 1730 54341 1 974 16362 37430
5040 917.127 860 48511 386 486 20100 28436
5048 960.369 874 41824 795 0 33556 9311
5040 917.127 2433 38458 1450 963 21148 17029
5048 960.369 204 27257 72 107 12882 14259
5040 917.127 2257 24457 102 2175 14040 8773
5048 960.369 1351 19790 1022 393 12850 6493
5040 917.127 987 44816 394 561 13566 31332
5048 960.369 1303 61768 114 1167 16469 45186
5040 917.127 1409 67677 132 1295 20449 43186
5048 960.369 858 36660 607 357 22927 12537
5040 917.127 1170 69296 298 886 16512 52478
5048 960.369 2104 44875 1738 406 16542 27212
5040 917.127 1416 49702 640 828 11998 38115
5048 960.369 1445 19848 1547 0 19884 0
5040 917.127 1653 31064 671 945 12382 17958
5048 960.369 1289 48038 499 702 7049 39808
5040 917.127 738 29346 699 0 17821 10987
5048 960.369 1337 45362 582 636 15587 29031
5040 917.127 1181 42197 471 640 22128 20100
5048 960.369 671 30486 365 226 10769 19285
5040 917.127 2253 52936 1866 303 20259 32228
5048 960.369 2569 44990 2313 200 25244 18230
5040 917.127 1427 32881 1224 199 9450 23468
5048 960.369 645 53624 373 297 26761 25505
5040 917.127 1384 51900 582 789 13045 37945
