#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 668.584 9217 289169 8023 1047 201113 87967
5048 703.669 13074 250955 11017 1887 167409 81161
5040 668.584 11443 264058 9435 1598 187807 76701
5048 703.669 9405 212593 7938 1289 143712 66546
5048 703.669 8430 198997 7422 609 124481 72706
5040 668.584 12590 203596 10964 1096 160143 40977
5040 668.584 7490 254892 5330 1865 130135 124731
5048 703.669 7901 244158 6159 1807 138370 107226
5040 668.584 8120 272370 5221 1535 169938 101694
5048 703.669 7140 226772 5683 1198 127183 97317
5040 668.584 9142 227500 6242 1271 164269 62935
5048 703.669 7455 185417 5572 1041 131003 53543
5040 668.584 9286 322547 7853 1423 200181 119784
5048 703.669 12308 238690 10237 1698 175002 65804
5040 668.584 17534 311512 13036 2258 240729 72935
5048 703.669 11025 337566 10045 817 221368 114310
5040 668.584 9249 309580 6638 2350 202069 106193
5048 703.669 6553 243479 4671 1780 120531 122945
5040 668.584 8998 244789 7515 1265 158960 86514
5048 703.669 6306 187758 5688 797 124960 61613
5040 668.584 7727 201025 5914 1478 115296 81493
5048 703.669 7613 196014 6315 1429 119182 76161
5040 668.584 11383 265509 8239 2346 160091 103441
5048 703.669 8836 200758 6477 2157 127442 73938
5040 668.584 12064 268994 9279 2597 199514 66975
5048 703.669 8011 207482 5696 2079 137571 67981
5040 668.584 11626 271274 9454 2132 197265 73256
5048 703.669 7053 286168 5704 732 163878 122983
5040 668.584 10434 287267 8534 1640 175854 111171
5048 703.669 11101 255515 6575 2441 138672 114451
5040 668.584 8624 244111 7227 1181 150807 90854
5048 703.669 10365 250523 6782 3312 110873 138269
5040 668.584 12330 258830 10132 1762 197647 60885
5048 703.669 9762 249926 8562 992 189372 62149
5040 668.584 8275 222244 7023 1287 149644 73005
5048 703.669 7766 208570 5969 1334 133206 75948
5040 668.584 9205 231337 6821 2489 153775 76244
5048 703.669 8822 199018 6425 2384 121036 75951
5040 668.584 7623 295592 6479 588 153824 142593
5048 703.669 6063 179393 4436 1482 102923 74875
5040 668.584 8280 227600 6714 1632 134888 89499
5048 703.669 6980 229763 5572 1431 133055 97281
5040 668.584 8186 219993 7038 1294 155140 66421
5048 703.669 6396 220742 5795 422 146533 72206
5040 668.584 10977 319879 8672 2189 213334 109269
5048 703.669 9382 284233 7777 1237 201488 80556
5040 668.584 12351 266387 11329 1021 207821 58770
5048 703.669 9450 270537 7435 1838 184552 83656
5040 668.584 9870 310821 7842 1888 180892 129128
5048 703.669 8704 274670 5472 3155 139115 135980
5040 668.584 8449 294131 6747 1418 156892 140408
5048 703.669 9581 268538 7703 1762 163192 104199
5040 668.584 8953 244651 6696 1466 156062 86474
5048 703.669 8029 204137 5562 2225 125199 79641
5040 668.584 7088 227442 5589 1452 164786 62439
5048 703.669 6816 207452 4968 1295 150797 54325
5040 668.584 9490 258876 8079 1184 169980 90428
5048 703.669 7377 239899 4953 2020 130933 105859
5040 668.584 10496 279945 6429 3313 173533 106928
5048 703.669 5730 232743 4621 623 169065 63748
5040 668.584 9696 211820 8402 815 158805 49726
5048 703.669 4291 144518 3511 379 111632 35017
5040 668.584 8974 249676 6837 1752 162470 85595
5048 703.669 7273 247577 6074 1181 146280 100111
5040 668.584 10267 243423 8033 2057 163874 78147
5048 703.669 9009 195247 6837 1198 117047 76678
5040 668.584 7852 284370 6753 1036 161725 117836
5048 703.669 9929 255021 7522 2115 132701 119706
