#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 827.077 6526 5938 4707 1399 2998 2554
5048 775.415 7186 6943 5326 1699 4212 2463
5040 827.077 9471 6956 6317 3029 2948 3494
5048 775.415 8867 6247 6491 1609 4185 1560
5040 827.077 4850 2749 3679 612 2230 276
5048 775.415 6538 6441 5316 1312 3570 2560
5040 827.077 4802 4586 3974 702 2913 1401
5048 775.415 9591 8098 8721 922 4547 3139
5040 827.077 4035 2771 3094 1001 1696 721
5048 775.415 10271 6027 9920 320 4237 1212
5040 827.077 5645 5604 3516 1726 2558 2762
5048 775.415 11623 6785 10471 968 3514 2968
5040 827.077 4992 5366 3329 1513 3078 1890
5048 775.415 6458 6835 5154 1272 4005 2350
5040 827.077 6354 5009 5442 915 3462 1148
5048 775.415 8173 7101 6825 1376 3822 2926
5040 827.077 4544 3786 3767 617 2428 1006
5048 775.415 9556 7422 7188 2326 4049 2923
5040 827.077 6163 6828 3922 2097 3031 3303
5048 775.415 8184 8478 5901 2213 4282 3762
5040 827.077 5548 3842 4538 974 2311 1120
5048 775.415 7374 5757 7007 408 3626 1708
5040 827.077 7880 4736 4463 2484 2285 1952
5048 775.415 9611 6953 7998 1583 4091 2530
5040 827.077 5396 4665 4059 1006 2680 1562
5048 775.415 8879 6828 7928 1054 3062 3417
5040 827.077 5985 4916 3118 2826 2516 2170
5048 775.415 8788 8275 6163 2598 4459 3467
5040 827.077 11280 5252 6815 2489 2807 1967
5048 775.415 9653 7152 7465 2273 4521 2257
5040 827.077 8397 5328 6605 1461 2610 2386
5048 775.415 10882 6767 8986 1768 4980 1310
5040 827.077 7825 5756 5483 2269 3152 2246
5048 775.415 8173 6165 5520 2553 3232 2519
5040 827.077 5209 5347 4281 805 2935 2051
5048 775.415 6752 8196 5486 1277 4624 3177
5040 827.077 7269 5803 4097 2774 2856 2292
5048 775.415 9602 6618 8212 1446 3700 2612
5040 827.077 4149 5750 3314 845 3224 1990
5048 775.415 6272 8363 4785 1127 4185 3753
5040 827.077 6522 4773 6174 200 2681 1775
5048 775.415 9449 6234 7969 1459 3319 2300
5040 827.077 7091 4854 5038 1659 2937 1433
5048 775.415 12209 8309 9651 1614 5753 2145
5040 827.077 9653 4144 8662 708 2491 1336
5048 775.415 9325 4695 7494 1617 2960 1239
5040 827.077 6822 4834 5745 1029 3166 1327
5048 775.415 6910 5409 5907 842 3586 1384
5040 827.077 7158 5362 3523 2710 2588 2396
5048 775.415 7617 6635 5497 1824 3616 2492
5040 827.077 7825 6019 6500 1217 3226 2344
5048 775.415 9252 6481 5659 1878 3360 2693
5040 827.077 5714 5380 4590 711 3469 1464
5048 775.415 9090 8572 7975 1033 5998 2193
5040 827.077 7853 5381 5773 2104 2813 2067
5048 775.415 10337 8606 7137 2539 5318 2780
5040 827.077 4890 6742 3527 1371 2917 3219
5048 775.415 11580 8665 7844 3137 4715 3362
5040 827.077 5655 5454 3608 1870 3259 1717
5048 775.415 6030 5802 4800 979 3009 2330
5040 827.077 5347 6104 5077 236 2778 2908
5048 775.415 7356 6393 5272 1011 4298 1838
5040 827.077 6522 4654 2641 949 1812 2483
5048 775.415 5510 8272 3890 1633 4549 3264
5040 827.077 6292 4511 4508 1583 3058 1099
5048 775.415 7630 6924 4259 3371 3841 2761
5040 827.077 7648 5519 4885 1887 3103 1990
5048 775.415 7182 6266 4597 2289 3872 1812
5040 827.077 5113 3994 4508 732 2684 1113
5048 775.415 8826 7434 7203 1393 4486 2447
5040 827.077 7731 5139 5792 442 2809 1929
5048 775.415 9441 5521 7739 1521 3526 1699
5040 827.077 8368 6058 6042 2241 3113 2514
5048 775.415 6767 7100 4069 1636 4324 2107
5040 827.077 8921 6452 5705 3125 2932 2950
5048 775.415 6361 6458 4735 1504 3715 2236
5040 827.077 6817 5192 4202 2334 3440 1448
5048 775.415 6394 5762 4293 1481 3696 1588
5040 827.077 4208 5358 2767 1347 3116 1710
5048 775.415 9795 8018 7874 1505 5279 2130
5040 827.077 5650 4314 4041 1488 2688 1342
5048 775.415 8977 5053 6861 1063 3251 1447
5040 827.077 6662 6331 4948 1792 3560 2369
5048 775.415 9478 6907 7471 1342 4269 2177
5040 827.077 6411 4635 5263 883 2839 1382
5048 775.415 7673 6884 5598 2324 3539 2943
5040 827.077 8840 4136 7876 838 2473 1426
5048 775.415 9437 7041 7005 2349 3637 3023
5040 827.077 8060 7214 6779 812 3688 3145
5048 775.415 11270 7664 9777 1442 3702 3620
5040 827.077 5147 3711 4315 770 2275 1084
5048 775.415 8666 5692 6797 1495 3189 2206
5040 827.077 4564 3791 4012 614 2661 833
5048 775.415 7504 5937 7015 721 3604 1804
5040 827.077 6228 5364 4114 1948 2938 2035
5048 775.415 9588 6719 7487 2204 4338 1782
5040 827.077 5144 5523 3756 1037 3447 1737
5048 775.415 12083 7619 8753 1055 4078 3131
5040 827.077 6899 4704 6113 836 2923 1394
5048 775.415 7286 5550 5055 2275 3087 1984
5040 827.077 8987 6419 6005 2404 3923 1999
5048 775.415 7574 7850 5556 1588 4757 2574
5040 827.077 8183 5636 5952 2008 3528 1770
5048 775.415 13825 6177 6613 4371 3481 2240
5040 827.077 6430 5515 6066 266 3778 1373
5048 775.415 6933 6986 4396 1752 4106 2372
5040 827.077 5422 4639 3889 870 2568 1598
5048 775.415 4341 6235 3400 963 3542 2359
5040 827.077 5918 5290 4545 1307 3178 1793
5048 775.415 5835 7132 4633 1014 3686 3056
5040 827.077 4967 4116 3787 1049 2818 818
5048 775.415 7530 6561 5618 1571 3705 2458
5040 827.077 6399 3822 5313 834 2579 865
5048 775.415 9434 5461 6840 1211 3076 2019
5040 827.077 6543 5588 5405 1078 3198 1887
5048 775.415 8209 6650 6954 1237 4178 2202
5040 827.077 7588 6656 4630 2888 3024 3128
5048 775.415 7422 6730 5734 1458 3538 2808
5040 827.077 9324 5487 8122 1033 3475 1619
5048 775.415 7370 7500 3913 3458 4207 2793
5040 827.077 5689 4873 4693 1063 2783 1753
5048 775.415 9284 7446 5665 2503 4092 2956
5040 827.077 6997 5346 4652 1743 2411 2509
5048 775.415 8740 5285 6775 1847 3206 1697
5040 827.077 3718 4171 2743 904 2566 1124
5048 775.415 7810 5727 6038 1679 3947 1503
5040 827.077 9252 6126 7976 1056 2412 3347
5048 775.415 8240 6556 5462 1854 3400 2765
5040 827.077 6308 6161 5408 876 2675 3183
5048 775.415 11546 5545 7965 1745 3109 2106
5040 827.077 6870 6219 5382 1331 3521 2241
5048 775.415 9807 7146 8834 846 4041 2632
5048 775.415 10671 9897 7014 3013 5832 3678
5040 827.077 6420 5524 3745 1945 2734 2342
5040 827.077 6107 6528 5326 818 3067 3031
5048 775.415 7751 6696 5148 1592 3831 2263
5040 827.077 5070 5408 3889 1043 2753 2221
5048 775.415 9116 7560 7375 1596 3895 3336
5040 827.077 6146 6391 3776 1825 3607 2269
5048 775.415 8113 6526 6336 1709 4874 1269
5040 827.077 5028 4658 2633 1730 2173 2149
5048 775.415 7253 6481 5718 1549 3835 2289
5040 827.077 6338 5693 4371 1921 3176 2126
5048 775.415 9764 8529 6440 3324 3503 4502
5040 827.077 4093 4299 2726 1073 2548 1145
5048 775.415 9081 7235 5905 3027 3922 2978
5040 827.077 8741 6554 3742 1627 2964 3185
5048 775.415 6802 7777 3285 2406 4505 2874
