#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 827.077 5810 6016 2645 2861 2851 2958
5048 775.415 5754 5709 5284 507 3755 1599
5040 827.077 5584 4309 5052 402 2506 1617
5048 775.415 10554 6273 8121 2280 3788 2022
5040 827.077 6902 5416 5332 1476 3644 1426
5048 775.415 6771 6447 5186 1460 4054 2176
5040 827.077 4768 3878 4053 728 2565 902
5048 775.415 7708 5908 6385 1123 3650 1851
5040 827.077 5153 3988 3816 1248 2230 1362
5048 775.415 9239 5405 7198 1713 3722 1315
5040 827.077 6570 5262 4237 2357 2232 2389
5048 775.415 7442 6390 4507 1438 3761 2186
5040 827.077 6854 5802 4159 1104 1906 3619
5048 775.415 10402 7072 7432 1255 3573 3189
5040 827.077 5270 3700 3562 1111 2176 1262
5048 775.415 9544 6361 6065 1703 4002 1959
5040 827.077 5769 4268 5074 485 2843 1020
5048 775.415 5516 4993 3573 1597 3561 1131
5040 827.077 11927 6108 6881 1991 3174 2362
5048 775.415 7179 6852 6145 917 3710 2647
5040 827.077 5673 4900 3796 1811 2576 1936
5048 775.415 9206 6538 6440 1832 4231 1890
5040 827.077 5504 6026 3245 2134 2969 2727
5048 775.415 9322 6592 7482 965 4763 1421
5040 827.077 4588 3321 4048 467 2442 672
5048 775.415 4710 4614 4003 797 3178 1182
5040 827.077 5718 3833 5279 488 2562 979
5048 775.415 6810 5639 5167 844 3797 1522
5040 827.077 7354 5485 5310 1775 3150 1896
5048 775.415 6287 5485 5046 1205 3188 1934
5040 827.077 5943 4569 4174 713 3202 1020
5048 775.415 8627 5622 7296 1297 3444 1840
5040 827.077 9306 6782 7031 2371 3330 3041
5048 775.415 10613 7757 9179 1401 4402 3016
5040 827.077 6083 6324 3490 2333 3289 2727
5048 775.415 11566 8739 9325 2300 5242 2834
5040 827.077 4565 4251 3724 845 2530 1430
5048 775.415 7353 5715 4833 2581 3251 1941
5040 827.077 5514 3894 4454 815 2152 1281
5048 775.415 7317 6601 4640 973 3845 2378
5040 827.077 6685 4854 4298 2447 3238 1478
5048 775.415 11272 8281 8769 2130 5714 2175
5040 827.077 5763 6458 3713 2006 3675 2364
5048 775.415 7315 7406 5059 2158 4247 2816
5040 827.077 5982 5799 4715 1180 2875 2548
5048 775.415 6330 6467 4792 1102 3205 2921
5040 827.077 6675 5530 4113 2266 3073 2046
5048 775.415 13368 6284 8288 1344 3586 2254
5040 827.077 6024 5100 3178 2844 2355 2438
5048 775.415 9962 5280 9194 922 3828 1124
5040 827.077 6595 5379 5463 1208 3108 1965
5048 775.415 8699 7133 6060 2816 3872 2957
5048 775.415 6488 5945 5189 831 3391 2224
5040 827.077 6064 4855 4304 1879 2769 1716
5040 827.077 7594 4419 6765 766 1867 2166
5048 775.415 6667 6955 5392 1099 3891 2773
5040 827.077 7092 5415 4572 2110 2955 2156
5048 775.415 9766 6106 7468 1203 3559 2088
5040 827.077 6963 4372 4780 2018 2854 1217
5048 775.415 9684 7277 7520 2094 5038 1724
5040 827.077 9539 4325 8269 256 3310 664
5048 775.415 8667 5919 5900 2712 3868 1805
5040 827.077 6648 6297 5094 1362 3963 1914
5048 775.415 5832 6225 5324 326 3950 1787
5040 827.077 4125 5093 2890 1139 1888 2785
5048 775.415 5244 5457 4286 708 2980 2079
5040 827.077 5453 4706 4811 687 2487 1851
5048 775.415 5120 5623 4734 551 3203 1951
5040 827.077 6549 4770 4663 1714 2688 1778
5048 775.415 4310 6496 3712 550 3997 2135
5040 827.077 4497 3908 3601 794 2123 1604
5048 775.415 6169 4697 4507 1634 2977 1513
5040 827.077 5511 5171 4509 691 2983 1787
5048 775.415 8905 6654 7306 1454 4364 1896
5040 827.077 3745 4145 3537 338 2408 1406
5048 775.415 6396 6248 5831 704 3388 2426
5040 827.077 5936 5842 3667 2128 2663 2864
5048 775.415 11396 9164 8542 2734 4805 3930
5040 827.077 6379 5227 5297 932 3178 1714
5048 775.415 9771 5913 7879 1762 2739 2751
5040 827.077 7385 3809 4516 2926 2226 1136
5048 775.415 9053 6878 5508 1283 3695 2786
5040 827.077 8597 5094 5769 1795 3008 1772
5048 775.415 10988 6427 9057 1908 4496 1479
5040 827.077 4782 5371 3678 1017 2467 2535
5048 775.415 8091 6091 6597 1201 3699 2220
5040 827.077 6588 3852 4729 1796 2086 1406
5048 775.415 7836 8119 6876 841 4485 3082
5040 827.077 6532 5300 4850 1766 2870 1967
5048 775.415 10907 6341 7603 2423 3280 2597
5040 827.077 6790 5881 4931 1654 3038 2427
5048 775.415 10383 8057 7768 2396 4412 3239
5040 827.077 6896 4979 5698 1322 2987 1778
5048 775.415 13804 8461 9397 4430 3836 4195
5040 827.077 5658 3461 4876 863 1769 1268
5048 775.415 8778 5636 7887 1002 2921 2340
5040 827.077 6155 4891 4976 1108 3321 1280
5048 775.415 7145 6825 4834 1601 3604 2939
5040 827.077 5458 5410 5187 241 3825 1187
5048 775.415 7694 6091 6511 684 3947 1771
5040 827.077 3492 5079 2054 831 3091 1647
5048 775.415 5472 6167 3931 1563 3631 2220
5040 827.077 6202 6427 3954 464 2581 3432
5048 775.415 10768 6617 6733 1517 4551 1843
5040 827.077 8049 5845 5543 2433 2879 2623
5048 775.415 8050 4914 5484 2440 2903 1428
5040 827.077 6340 7174 4347 2044 3260 3589
5048 775.415 9221 7482 6651 2368 3522 3409
5040 827.077 5119 7015 3685 1293 3117 3516
5048 775.415 5216 8702 2761 2569 3934 4365
5040 827.077 6192 5467 3167 2738 3228 1888
