#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 823.211 1768 37086 1417 440 16382 21074
5048 796.626 2606 68971 1090 1493 25358 43643
5040 823.211 2921 50226 2550 508 22452 27899
5048 796.626 1155 62010 256 793 21820 41891
5040 823.211 7 78598 11 0 17578 61216
5048 796.626 629 28862 605 0 22714 7360
5040 823.211 1096 45691 1117 0 27826 18401
5048 796.626 1569 51328 1208 294 31188 19592
5040 823.211 2240 64246 1138 1149 23621 41430
5048 796.626 815 76562 458 398 41066 36129
5040 823.211 1317 47304 722 569 28767 16264
5048 796.626 2510 66890 2431 0 33954 32592
5040 823.211 811 29071 735 0 16673 11239
5048 796.626 1478 63912 1025 507 31715 31498
5040 823.211 1675 78377 1361 199 54144 23749
5048 796.626 1329 85575 950 341 42786 43885
5040 823.211 3160 34581 2758 326 19949 14251
5048 796.626 1131 51587 281 873 38051 13691
5040 823.211 1279 59658 614 576 41116 18791
5048 796.626 2577 77722 1902 618 26085 53779
5040 823.211 2665 74274 1743 1005 15838 57246
5048 796.626 1622 30657 1449 168 17631 13571
5040 823.211 853 47493 448 448 26967 20100
5048 796.626 1158 51079 711 383 34180 14737
5040 823.211 571 48185 372 244 11183 39755
5048 796.626 1235 30981 367 863 13681 17391
5040 823.211 695 50758 711 0 30065 19578
5048 796.626 1269 27050 818 522 21458 5179
5040 823.211 1003 65983 678 266 20187 44170
5048 796.626 2392 50733 1842 542 22701 26178
5040 823.211 606 72201 76 495 17949 52873
5048 796.626 704 51888 364 334 21285 30713
5040 823.211 1566 68822 781 790 32051 34494
5048 796.626 1019 55862 477 424 38288 18124
5040 823.211 1901 64023 705 735 20974 43129
5048 796.626 3077 44738 1751 194 37191 9651
5040 823.211 479 30816 475 0 16392 14393
5048 796.626 1104 38433 1109 0 18020 20717
5040 823.211 2040 56464 462 1427 20771 33407
5048 796.626 2091 30933 1749 193 20927 8935
5040 823.211 1044 34724 216 817 20651 13324
5048 796.626 718 61311 629 0 23089 36653
5040 823.211 2406 37782 2206 195 21511 15347
5048 796.626 3144 59439 1863 1097 29828 29478
5040 823.211 1348 30934 754 678 18240 12371
5048 796.626 582 59759 365 176 25577 34133
5040 823.211 1629 39527 1335 285 18158 20804
5048 796.626 4047 72142 2776 1340 31150 40606
5040 823.211 746 54367 12 715 27892 27133
5048 796.626 1949 63676 1579 219 40639 23185
5040 823.211 1975 40862 1502 448 21813 18904
5048 796.626 3134 25901 3000 0 23423 2763
5040 823.211 432 37240 450 0 22733 15611
5048 796.626 1527 39419 953 524 17992 22349
5040 823.211 1931 80084 1387 499 28363 49455
5048 796.626 1949 34113 1469 446 19631 14566
5040 823.211 2141 39485 1970 189 24121 14298
5048 796.626 3149 63197 2022 1096 27543 33673
5040 823.211 1964 43647 1728 175 23603 20945
5048 796.626 1509 67909 878 625 27756 41390
5040 823.211 223 55667 166 0 19998 36348
5048 796.626 5202 114788 224 1284 22948 90909
5040 823.211 2626 40003 1815 872 29279 11000
5048 796.626 1330 64813 804 517 33385 30196
5040 823.211 314 42215 271 0 21668 19560
5048 796.626 2695 45636 2388 263 37846 8656
5040 823.211 1551 43879 1289 292 21767 20862
5048 796.626 1651 45299 951 648 24582 20828
5040 823.211 3251 53022 3227 0 27784 25479
5048 796.626 2510 44556 1474 1079 22988 20551
5040 823.211 1445 55127 498 915 14895 40507
5048 796.626 0 16313 0 0 16153 35
5040 823.211 2443 61855 717 656 19446 42028
5048 796.626 3237 50075 1413 1551 37320 12686
5040 823.211 695 40079 262 423 19711 21334
5048 796.626 3170 94147 2153 923 26810 66934
5040 823.211 2566 45690 1693 791 33840 11739
5048 796.626 1699 68330 955 707 28331 40891
5040 823.211 2644 61838 2388 216 18255 43435
5048 796.626 1720 76815 1353 234 29914 43784
5040 823.211 1830 52778 1054 766 20165 30196
5048 796.626 2040 50464 2032 0 32497 19261
5040 823.211 1176 37010 690 513 15999 21561
5048 796.626 504 64402 458 0 23833 40580
5040 823.211 1865 44673 1253 526 29365 14608
5048 796.626 2663 52133 1685 869 26380 25426
5040 823.211 3671 40744 2418 1298 20259 22209
5048 796.626 1816 56787 1310 535 20896 34364
5040 823.211 842 50087 638 219 29901 20940
5048 796.626 898 42777 592 330 26000 16608
5040 823.211 187 39108 202 0 12980 25291
5048 796.626 2216 66591 1314 796 23061 42016
5040 823.211 1980 29730 1095 816 19446 10571
5048 796.626 1492 55128 1347 154 30008 23855
5040 823.211 1387 53946 1025 333 22189 31331
5048 796.626 1157 84578 621 598 31813 51832
5040 823.211 1922 57712 1885 0 32519 25416
5048 796.626 3347 73362 2503 715 38398 34858
5040 823.211 1623 58422 1382 262 28845 30185
5048 796.626 2316 76303 736 1577 32342 45035
5040 823.211 1009 85118 439 532 19997 63881
5048 796.626 2099 47333 673 549 19025 28428
5040 823.211 1101 30179 914 233 16212 13762
5048 796.626 627 53908 580 0 21691 32470
5040 823.211 1764 64205 1014 737 32633 30897
5048 796.626 1702 50722 750 952 26155 23723
5040 823.211 3552 56875 2497 982 28898 28653
5048 796.626 675 53811 710 0 25990 27785
5040 823.211 368 48978 331 0 19009 27956
5048 796.626 1595 54811 877 671 16658 36616
5040 823.211 867 44333 548 282 32733 11017
5048 796.626 3443 39684 1827 1498 20561 19046
5040 823.211 733 53406 520 213 35872 17258
5048 796.626 1698 43045 717 815 26956 16298
5040 823.211 1325 56002 521 787 22426 32525
5048 796.626 1829 62548 1485 452 21170 41595
5040 823.211 558 40368 505 0 11169 28671
5048 796.626 374 28639 153 213 12181 16941
5040 823.211 3618 65688 917 2766 22684 41551
5048 796.626 1119 67486 640 433 31102 37033
5040 823.211 645 36959 406 252 20703 15946
5048 796.626 1589 35514 1360 225 19758 16515
5040 823.211 2626 46629 2164 0 28086 18830
5048 796.626 2031 69880 1125 724 43842 25619
5040 823.211 1980 44295 1159 658 31211 12294
5048 796.626 2053 50009 1530 413 21812 27573
5040 823.211 560 45616 569 0 23983 21743
5048 796.626 1044 33697 722 270 19649 14590
5040 823.211 2439 42738 2213 256 23239 19880
5048 796.626 2099 40720 1441 632 25453 13784
5040 823.211 1534 51404 931 540 28311 24039
5048 796.626 999 50239 380 592 23971 27029
5040 823.211 1249 80964 974 334 26245 54969
5048 796.626 2025 83576 1020 848 39486 44088
5040 823.211 1799 28881 1597 213 23994 3711
5048 796.626 1042 67368 800 138 36896 30339
5048 796.626 2526 51034 1769 783 31280 18881
5040 823.211 971 60296 841 208 23099 36932
5040 823.211 1758 50060 845 841 24995 25767
5048 796.626 1261 50508 1008 236 31055 20066
5040 823.211 1030 49049 40 924 25259 25378
5048 796.626 1024 55162 112 168 14186 41358
5040 823.211 603 29689 614 0 18857 10520
5048 796.626 1537 51196 656 782 20021 30193
5040 823.211 1201 46404 790 463 20435 25463
5048 796.626 1961 94464 629 1402 24203 69992
5040 823.211 669 47611 25 663 32533 14466
5048 796.626 388 70650 249 233 25263 44011
5040 823.211 1041 56052 996 0 38249 17252
5048 796.626 928 74514 561 411 52875 22933
