#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 825.336 5447 151089 2958 2400 76691 76097
5048 811.029 5095 177284 3446 1633 89301 87587
5040 825.336 5024 158756 3029 1882 88644 69226
5048 811.029 5600 179250 3700 2054 89091 89858
5040 825.336 4010 156611 3348 543 61693 95032
5048 811.029 4687 136774 3650 197 68326 70290
5040 825.336 7907 152929 5395 880 90318 62318
5048 811.029 6856 183595 4303 1878 89770 94731
5040 825.336 7518 168593 5362 2086 82089 88552
5048 811.029 5169 173382 4256 1008 96387 77941
5040 825.336 5257 178405 3758 1406 88323 86809
5048 811.029 7207 236996 4311 2705 90263 144713
5040 825.336 6234 181334 5040 1076 99237 79352
5048 811.029 8820 204263 5721 2139 107875 98099
5040 825.336 8696 177018 7062 1526 100959 74404
5048 811.029 5256 150474 3363 1598 80276 67978
5040 825.336 4390 139556 2748 1535 73219 69066
5048 811.029 5393 144014 3988 1287 73796 70758
5040 825.336 6848 155125 5692 1138 98177 61201
5048 811.029 4964 161218 2479 1910 99461 59927
5040 825.336 5294 173238 3498 1588 83436 88816
5048 811.029 8107 223504 6595 1429 91779 128539
5040 825.336 3359 164167 1676 1785 96442 70408
5048 811.029 6136 230396 3978 2157 122452 107290
5040 825.336 4223 192345 1762 1873 86495 107657
5048 811.029 6420 189499 2998 1848 89377 98169
5040 825.336 4435 147747 3599 626 97263 47698
5048 811.029 2531 128366 2179 200 77502 50036
5040 825.336 6581 209807 4378 2448 101056 106604
5048 811.029 5897 184745 4379 1283 104786 77331
5040 825.336 4913 123731 4720 196 83395 39329
5048 811.029 3799 95373 3424 392 73192 22367
5040 825.336 5518 176330 3384 2048 78357 95353
5048 811.029 5287 142474 2943 2159 83078 58781
5040 825.336 7023 168875 4074 2672 87948 81352
5048 811.029 6538 184976 5149 1295 97912 85880
5040 825.336 6836 203473 4405 2451 90068 111206
5048 811.029 9120 158615 3803 2435 100808 56760
5040 825.336 6961 228539 4759 1359 104154 121736
5048 811.029 4159 176472 3052 1063 90955 83159
5040 825.336 5516 145210 5166 532 105223 39714
5048 811.029 6790 133482 5067 1681 89007 43726
5040 825.336 7581 108297 6481 1071 77707 29943
5048 811.029 5407 176149 3993 1313 115321 61551
5040 825.336 3575 168443 2421 1110 100817 66324
5048 811.029 3421 189567 2139 1283 110087 75783
5040 825.336 4621 137574 3842 734 76359 59434
5048 811.029 4799 158368 3326 1340 81110 78725
5040 825.336 5444 146145 3438 1906 71273 75250
5048 811.029 6040 149872 5027 991 101942 48580
5040 825.336 4263 157655 3548 658 99020 57552
5048 811.029 5347 146545 3960 1341 90044 57219
5040 825.336 7236 177904 5935 1261 82162 95779
5048 811.029 5850 177039 5019 917 98983 73696
5040 825.336 4527 209743 2621 1740 101570 105954
5048 811.029 5491 145165 3705 830 90603 52384
5040 825.336 4629 160853 3303 1204 69257 91247
5048 811.029 5577 174583 3878 1603 79848 97462
5040 825.336 4959 157997 3503 715 78068 78723
5048 811.029 9412 223050 4954 4473 101248 121955
5040 825.336 5065 171980 2999 1935 72734 96590
