#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1348.03 389 4692 412 0 4473 0
5048 1370.73 428 15195 438 0 8547 6435
5040 1348.03 430 19187 277 174 5661 13280
5048 1370.73 899 15558 486 419 6057 10026
5040 1348.03 507 29585 158 418 12213 18025
5048 1370.73 322 11199 316 0 6045 5098
5040 1348.03 310 10104 219 0 5522 4319
5048 1370.73 85 2378 68 0 2359 0
5040 1348.03 21 6152 4 0 5600 440
5048 1370.73 646 9993 62 480 3719 5719
5040 1348.03 9 5402 5 0 5568 0
5048 1370.73 755 8727 499 155 2698 6055
5040 1348.03 -25 13160 1 0 9231 3340
5048 1370.73 811 10781 342 339 6337 4469
5040 1348.03 1333 10572 417 0 5129 5120
5048 1370.73 258 13712 155 119 4468 8776
5040 1348.03 130 11681 97 0 8123 3895
5048 1370.73 296 7012 227 0 7277 0
5040 1348.03 -4 7463 6 0 7267 0
5048 1370.73 0 4901 0 0 4970 0
5040 1348.03 530 7509 489 0 4127 3143
5048 1370.73 277 13677 0 303 4853 8454
5040 1348.03 119 5949 91 0 5418 0
5048 1370.73 516 25540 4 460 5945 18498
5040 1348.03 410 18577 68 250 4718 13404
5048 1370.73 53 11980 42 0 3476 8206
5040 1348.03 260 8984 260 0 2959 6107
5048 1370.73 0 2725 0 0 2565 0
5040 1348.03 60 17681 86 0 6290 11327
5048 1370.73 2215 10155 1981 172 5827 4165
5040 1348.03 277 10818 167 117 6591 3771
5048 1370.73 124 12609 0 173 6470 5625
5040 1348.03 110 7030 99 0 6925 0
5048 1370.73 125 4466 150 0 4454 0
5040 1348.03 119 8141 139 0 7950 0
5048 1370.73 643 16371 547 0 16819 0
5040 1348.03 188 4296 167 0 2496 1434
5048 1370.73 198 8200 141 131 3377 4528
5040 1348.03 39 8588 43 0 4646 4238
5048 1370.73 279 3948 303 0 4161 0
5048 1370.73 761 9411 788 0 5509 3805
5040 1348.03 337 14490 278 0 13177 801
5040 1348.03 8 9143 48 0 2894 5368
5048 1370.73 40 6203 0 1 5394 513
5040 1348.03 189 10445 28 161 4337 5515
5048 1370.73 365 14511 60 313 5050 10028
5040 1348.03 565 11067 632 0 10873 0
5048 1370.73 232 8196 145 167 3177 4872
5040 1348.03 495 14083 443 0 8137 5270
5048 1370.73 200 24953 0 156 19083 6044
5040 1348.03 215 16795 244 0 4623 11738
5048 1370.73 965 10281 881 145 8784 1724
5040 1348.03 228 7363 8 181 3273 3620
5048 1370.73 546 12419 0 468 2062 9279
5040 1348.03 279 10648 271 0 11108 0
5048 1370.73 620 3193 346 214 3332 0
5040 1348.03 213 11326 197 0 11657 0
5048 1370.73 424 3829 370 0 3382 0
5040 1348.03 29 18298 29 0 5667 12771
5048 1370.73 209 7972 167 0 7466 0
5040 1348.03 0 17656 0 0 13326 3501
5048 1370.73 497 18656 436 115 7787 9693
5040 1348.03 454 13004 410 0 5576 6838
5048 1370.73 84 17934 99 0 2521 14870
5040 1348.03 1463 7161 168 0 2275 4725
5048 1370.73 16 4224 0 0 4078 0
5040 1348.03 373 7578 391 0 2281 5007
5048 1370.73 549 12246 221 280 5472 6719
5040 1348.03 539 6554 344 180 2558 4205
5048 1370.73 62 2314 33 0 2287 0
5040 1348.03 672 24108 71 652 7350 17257
5048 1370.73 491 3300 438 0 3064 0
5040 1348.03 308 12962 278 0 8329 4472
5048 1370.73 3151 8002 336 0 6783 746
5040 1348.03 328 11778 342 0 7405 4528
5048 1370.73 106 10656 69 0 4882 4923
5040 1348.03 317 7390 306 0 2455 4977
5048 1370.73 252 13941 54 197 8375 5716
5040 1348.03 -63 16912 0 0 8661 8080
5048 1370.73 699 16176 384 338 7510 8639
5040 1348.03 206 4785 235 0 4805 0
5048 1370.73 973 10314 891 0 7196 2579
5040 1348.03 145 8655 184 0 3532 5091
5048 1370.73 133 9494 96 0 7294 2131
5040 1348.03 929 2481 971 0 2185 0
5048 1370.73 467 4784 441 0 4116 823
5040 1348.03 54 7773 54 0 7709 0
5048 1370.73 781 7263 776 0 7341 0
5040 1348.03 0 4500 0 0 4233 0
5048 1370.73 140 11204 100 0 2723 8413
5040 1348.03 689 7691 517 189 2012 5198
5048 1370.73 -16 11282 0 0 5354 5402
5040 1348.03 243 8426 339 0 3394 4528
5048 1370.73 438 2422 487 0 2431 0
5040 1348.03 851 15290 561 275 7886 7670
5048 1370.73 77 5745 63 0 2674 2664
5040 1348.03 205 3607 199 0 3386 0
5048 1370.73 429 3884 472 0 4029 0
5040 1348.03 533 19409 433 122 10426 8733
5048 1370.73 720 10078 397 255 9227 853
5040 1348.03 -25 16546 1 0 16504 0
5048 1370.73 0 4843 0 0 5013 0
5040 1348.03 3991 16875 660 0 6002 10415
5048 1370.73 27 23441 65 0 9280 14574
5040 1348.03 409 10238 338 0 5519 4761
5048 1370.73 314 5699 283 0 6009 0
5040 1348.03 264 4526 230 0 4728 0
5048 1370.73 182 9587 1 185 4133 5436
5040 1348.03 98 8536 118 0 8556 90
5048 1370.73 71 4730 58 0 4507 0
5040 1348.03 1 4773 7 0 4480 0
5048 1370.73 166 15991 173 0 14791 941
5040 1348.03 61 8529 32 0 9004 0
5048 1370.73 384 16357 341 0 11438 4787
5040 1348.03 36 11801 72 0 11413 0
5048 1370.73 121 11088 74 0 10684 0
5040 1348.03 669 9043 702 0 4649 4406
5048 1370.73 182 13642 26 158 3887 9369
5040 1348.03 0 6552 0 0 6914 0
5048 1370.73 271 20204 273 0 10465 9662
5040 1348.03 351 15804 181 211 9738 5253
5048 1370.73 2925 2375 592 0 2091 0
5040 1348.03 932 12981 907 160 5084 7988
5048 1370.73 3163 11039 3249 0 6627 4238
5040 1348.03 -6 8523 21 0 8650 0
5048 1370.73 229 11433 0 148 9964 1529
5040 1348.03 73 951 49 0 1009 0
5048 1370.73 12 3306 0 0 3408 0
5040 1348.03 0 18476 0 0 8537 9420
5048 1370.73 180 9910 0 161 4077 5682
5040 1348.03 329 8386 233 0 8392 0
5048 1370.73 257 3662 224 0 3426 0
5040 1348.03 417 17246 73 334 8553 8551
5048 1370.73 447 13564 366 0 7939 5008
5040 1348.03 0 8176 0 0 4291 4537
5048 1370.73 149 17232 0 152 13527 4508
5040 1348.03 1610 9043 1604 0 8888 0
5048 1370.73 141 9003 131 0 2512 5893
5040 1348.03 413 17766 395 0 4922 11936
5048 1370.73 294 15221 81 178 8353 7083
5040 1348.03 365 12707 9 333 3686 9273
5048 1370.73 291 5499 264 0 5595 0
5040 1348.03 818 23290 355 329 7227 15650
5048 1370.73 515 9804 8 0 7560 2014
5040 1348.03 235 17574 75 141 6690 10579
5048 1370.73 662 5896 585 0 5691 0
5040 1348.03 361 5061 393 0 4908 0
5048 1370.73 828 16207 842 0 10928 4580
5040 1348.03 300 3794 265 0 3713 0
5048 1370.73 37 15079 51 0 5799 8282
5040 1348.03 -29 4187 0 0 3779 0
5048 1370.73 84 7686 63 0 3146 4290
5040 1348.03 224 10492 225 0 6958 3673
5048 1370.73 197 21173 179 0 15421 5746
5040 1348.03 295 3848 2 262 3307 675
5048 1370.73 325 12445 345 0 4919 7909
5040 1348.03 378 13086 166 161 11335 1558
5048 1370.73 2 10724 5 0 5214 5389
5040 1348.03 502 12254 62 460 4624 7157
5048 1370.73 307 11766 333 0 7599 4067
5040 1348.03 219 15802 15 259 10721 4766
5048 1370.73 93 7515 109 0 7412 0
5040 1348.03 210 13146 56 141 8143 4942
5048 1370.73 605 9992 423 200 5107 4323
5040 1348.03 0 7441 0 0 6260 893
5048 1370.73 197 5258 180 0 4731 0
5040 1348.03 452 1812 46 0 1730 0
5048 1370.73 876 21851 397 425 4162 17253
5040 1348.03 226 2629 0 187 1724 508
5048 1370.73 2003 15879 1752 112 6876 9656
5040 1348.03 769 9755 573 0 9369 0
5048 1370.73 358 4879 326 0 4635 0
5040 1348.03 1840 21325 1558 175 4422 16766
5048 1370.73 435 9047 412 0 4827 4377
5040 1348.03 566 7900 192 0 5029 2195
5048 1370.73 456 9251 390 0 5034 3996
5040 1348.03 580 12557 524 0 9877 2158
5048 1370.73 1129 11283 1165 0 6844 4570
5040 1348.03 1251 12125 199 0 8250 4340
5048 1370.73 57 17277 85 0 10479 6648
5040 1348.03 867 6060 913 0 6282 0
5048 1370.73 0 6563 0 0 6495 0
5040 1348.03 561 6639 538 0 5903 0
5048 1370.73 456 14663 247 139 2552 11677
5040 1348.03 361 9613 213 218 4906 3834
5048 1370.73 153 4425 75 0 4440 0
5040 1348.03 250 19230 304 0 11247 7756
5048 1370.73 582 6633 324 303 7100 0
5048 1370.73 469 13249 0 0 3885 8686
5040 1348.03 657 17703 249 359 9167 8640
5040 1348.03 1046 18464 805 203 13297 4787
5048 1370.73 591 20899 312 230 11980 8766
5040 1348.03 152 5507 131 0 5005 0
5048 1370.73 53 6135 65 0 5986 0
5040 1348.03 513 7615 32 157 3314 4177
5048 1370.73 219 8879 20 175 8198 607
5040 1348.03 114 8004 66 0 8190 0
5048 1370.73 590 16242 519 0 9354 6984
5040 1348.03 177 10193 36 165 5570 4467
5048 1370.73 -11 10785 4 0 3389 7272
5040 1348.03 11 4507 10 0 4743 0
5048 1370.73 0 4304 0 0 4261 0
#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1348.03 0 8269 0 0 8054 0
5048 1370.73 352 9534 389 0 8723 0
5040 1348.03 352 8417 324 0 8437 0
5048 1370.73 699 29348 171 526 7653 21041
5040 1348.03 653 25416 8 564 5349 20103
5048 1370.73 261 11253 297 0 6162 5382
5040 1348.03 36 11920 13 0 6189 5965
5048 1370.73 577 15216 235 325 5588 8708
5040 1348.03 119 5807 151 0 4813 651
5048 1370.73 268 11520 211 0 5478 5082
5040 1348.03 224 13671 1 188 5704 7313
5048 1370.73 130 8110 2 136 4025 3992
5040 1348.03 452 25356 245 119 12180 13852
5048 1370.73 333 9697 94 177 9752 0
5040 1348.03 294 4130 261 0 4158 0
5048 1370.73 153 5762 160 0 4485 917
5040 1348.03 552 6211 479 0 5775 0
5048 1370.73 174 11507 213 0 7276 4467
5040 1348.03 0 13656 0 0 4021 9577
5048 1370.73 97 6172 84 0 4519 1070
5040 1348.03 182 7708 254 0 4381 2790
5048 1370.73 476 9180 184 288 4504 4551
5040 1348.03 851 15538 316 483 5199 10471
5048 1370.73 796 7982 559 211 3988 4125
5040 1348.03 307 5980 236 0 5343 0
5048 1370.73 304 16459 177 189 6051 9875
5040 1348.03 91 4836 132 0 4812 0
5048 1370.73 391 18920 198 175 6393 11881
5040 1348.03 102 4290 85 0 3651 926
5048 1370.73 234 11165 250 0 5957 4775
5040 1348.03 414 8458 429 0 7082 1067
5048 1370.73 312 9232 270 0 4292 4154
5040 1348.03 0 5315 0 0 5315 0
5048 1370.73 1312 8271 1050 247 3659 4941
5040 1348.03 401 10103 420 0 7668 2398
5048 1370.73 372 8714 150 195 4150 4447
5040 1348.03 43 12944 4 0 12640 0
5048 1370.73 127 3352 148 0 3354 0
5040 1348.03 639 14114 563 0 9651 4208
5048 1370.73 58 9996 37 0 10989 0
5040 1348.03 658 10449 449 160 3746 6320
5048 1370.73 878 20723 361 487 7220 12447
5040 1348.03 43 10233 7 0 6119 3440
5048 1370.73 531 3047 543 0 2815 0
5040 1348.03 78 8090 76 0 4791 3846
5048 1370.73 -55 7797 8 0 7660 0
5040 1348.03 1133 19727 202 115 16733 3225
5048 1370.73 939 16893 780 153 8179 8302
5040 1348.03 0 8526 0 0 4919 3468
5048 1370.73 61 12129 84 0 7659 4650
5040 1348.03 296 18165 87 208 14052 4079
5048 1370.73 131 16021 148 0 16242 0
5040 1348.03 262 8073 252 0 7300 0
5048 1370.73 332 17009 173 185 10597 7037
5040 1348.03 176 2909 277 0 2989 3
5048 1370.73 1008 11399 17 988 1968 9231
5040 1348.03 399 12257 393 0 12362 0
5048 1370.73 76 8662 80 0 8534 0
5040 1348.03 957 16939 0 881 6760 9332
5048 1370.73 267 9354 311 0 6101 3629
5040 1348.03 555 7721 545 0 5965 1613
5048 1370.73 511 16643 311 173 6477 9985
5040 1348.03 1031 8782 883 152 4731 4739
5048 1370.73 711 8855 688 0 3305 5644
5040 1348.03 228 6552 234 0 6334 0
5048 1370.73 212 4637 176 0 4998 0
5040 1348.03 1143 9400 875 208 5794 3233
5048 1370.73 14 8538 0 0 4145 4103
5040 1348.03 149 10020 120 0 4817 5202
