#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1348.03 616 15430 546 0 11447 4042
5048 1370.73 577 14417 422 156 3582 10564
5040 1348.03 66 7108 71 0 7221 0
5048 1370.73 246 26052 0 223 16905 8144
5040 1348.03 763 7897 760 0 7639 0
5048 1370.73 868 16605 666 159 12622 3773
5040 1348.03 1097 22700 1037 137 6147 16124
5048 1370.73 326 4843 330 0 4694 0
5040 1348.03 519 9540 158 274 6996 2222
5048 1370.73 40 16187 20 0 4135 12242
5040 1348.03 -31 12703 20 0 7244 5705
5048 1370.73 507 11682 180 326 3758 7503
5040 1348.03 725 13926 554 126 3690 9546
5048 1370.73 340 3276 317 0 2917 0
5040 1348.03 1206 16951 627 584 11061 5991
5048 1370.73 176 2746 183 0 2725 0
5040 1348.03 531 16400 519 0 4540 11517
5048 1370.73 0 8050 0 0 5772 2070
5040 1348.03 383 5128 398 0 5071 0
5048 1370.73 1524 7284 1529 0 7451 0
5040 1348.03 205 14638 155 0 9106 5106
5048 1370.73 317 6194 289 0 5668 0
5040 1348.03 467 14903 261 268 10395 4266
5048 1370.73 353 8265 131 203 3969 4176
5040 1348.03 -21 15253 0 0 15632 0
5048 1370.73 351 15333 292 0 15258 0
5040 1348.03 571 18517 520 0 10419 8180
5048 1370.73 1423 18288 1181 176 9067 9513
5040 1348.03 483 5116 387 0 5285 0
5048 1370.73 111 3170 100 0 3108 0
5040 1348.03 5 8367 0 0 7990 0
5048 1370.73 10 9516 28 0 6593 2998
5040 1348.03 443 11062 155 278 5242 5069
5048 1370.73 228 8427 199 0 5723 2525
5040 1348.03 409 6475 344 0 5950 0
5048 1370.73 343 7729 267 0 7853 0
5040 1348.03 537 11013 555 0 10672 0
5048 1370.73 380 8552 385 0 4558 3596
5040 1348.03 203 13762 0 0 8971 4167
5048 1370.73 1339 6613 663 253 5736 850
5040 1348.03 295 1852 280 0 1877 0
5048 1370.73 526 9820 286 231 5025 4606
5040 1348.03 393 11904 135 204 11936 0
5048 1370.73 174 15646 182 0 12836 2813
5040 1348.03 65 17103 17 0 10929 5642
5048 1370.73 412 12532 364 0 7985 4809
5040 1348.03 0 12419 0 0 3863 8591
5048 1370.73 856 24650 921 0 19907 4055
5040 1348.03 98 10471 236 0 6264 4467
5048 1370.73 466 9133 367 0 3841 4792
5040 1348.03 415 21174 248 168 8706 12129
5048 1370.73 40 3797 23 0 3246 620
5040 1348.03 452 13647 215 191 4521 8966
5048 1370.73 221 9808 0 192 6502 2846
5040 1348.03 0 7595 0 0 6100 1696
5048 1370.73 905 23561 394 430 15812 7576
5040 1348.03 721 10753 105 594 6869 3299
5048 1370.73 337 4602 281 0 4398 0
5040 1348.03 34 11257 0 0 7104 4221
5048 1370.73 177 11475 37 207 9421 2518
5040 1348.03 469 10348 411 0 5564 4538
5048 1370.73 1106 3811 385 0 3844 0
5040 1348.03 441 13976 254 187 4666 8601
5048 1370.73 435 8489 152 287 4762 3572
5040 1348.03 388 12675 184 167 6323 6128
5048 1370.73 1366 23253 538 823 9978 14569
5040 1348.03 193 14993 1 208 13395 1892
5048 1370.73 803 8107 534 188 3017 4567
5040 1348.03 722 9573 747 0 8808 0
5048 1370.73 343 13676 245 0 8576 5445
5040 1348.03 509 28399 181 341 12367 15774
5048 1370.73 200 14368 41 157 6283 7979
5040 1348.03 14 4160 13 0 3465 0
5048 1370.73 -5 4858 39 0 4628 0
5040 1348.03 284 3391 309 0 3236 0
5048 1370.73 143 6859 67 0 3486 3546
5040 1348.03 578 15557 341 186 14208 1343
5048 1370.73 112 5530 0 124 3054 2387
5040 1348.03 317 18606 145 196 7430 10834
5048 1370.73 109 5454 90 0 5538 0
5040 1348.03 406 16578 94 303 6969 9341
5048 1370.73 442 23543 173 295 7418 14618
5040 1348.03 775 13480 364 0 12159 456
5048 1370.73 111 7007 127 0 6437 0
5040 1348.03 73 17535 54 0 7407 10437
5048 1370.73 154 7631 179 0 4372 2543
5040 1348.03 462 8377 499 0 8685 0
5048 1370.73 -1 5767 2 0 5974 0
5040 1348.03 155 5680 0 145 3961 1670
5048 1370.73 531 14546 184 287 4890 8552
5040 1348.03 681 7536 613 0 6937 0
5048 1370.73 424 8378 392 0 8412 0
5040 1348.03 822 10627 574 184 4734 5334
5048 1370.73 106 4118 43 114 3895 0
5040 1348.03 249 10916 335 0 5337 5590
5048 1370.73 6 5531 45 0 5875 0
5040 1348.03 586 24033 196 381 6262 16846
5048 1370.73 547 9229 443 0 4351 5064
5040 1348.03 60 12013 38 0 11354 0
5048 1370.73 705 11704 330 304 6610 4838
5040 1348.03 695 11652 341 331 5521 6046
5048 1370.73 225 14498 0 255 6310 8088
5040 1348.03 328 28272 28 291 5466 22416
5048 1370.73 15 12702 0 0 7021 5317
5040 1348.03 1302 15780 1090 166 3549 11757
5048 1370.73 397 13290 309 100 7955 4682
5040 1348.03 818 20990 242 542 8626 12493
5048 1370.73 41 3534 74 0 3243 0
5040 1348.03 626 8660 531 0 4161 4418
5048 1370.73 1137 4924 944 214 2427 1998
5040 1348.03 820 5267 834 0 4901 0
5048 1370.73 38 9020 0 0 8281 569
5040 1348.03 -3 8119 9 0 3434 4282
5048 1370.73 424 7811 465 0 7128 334
5040 1348.03 429 14354 241 146 9631 4324
5048 1370.73 15 6004 0 0 4779 1028
5040 1348.03 392 15366 349 0 5808 8923
5048 1370.73 790 7123 746 0 6950 0
5040 1348.03 593 15663 625 0 10900 4340
5048 1370.73 311 13019 253 0 10323 2347
5040 1348.03 112 10784 2 110 6123 4065
5048 1370.73 47 3414 41 0 3261 0
5040 1348.03 630 11219 627 0 7493 4008
5048 1370.73 410 6781 428 0 4713 1988
5040 1348.03 155 15230 85 0 14650 624
5048 1370.73 0 7791 0 0 2401 5226
5040 1348.03 315 19691 282 0 4228 14320
5048 1370.73 453 10719 23 410 6312 3787
5048 1370.73 86 10581 7 0 5471 5126
5040 1348.03 724 11036 138 572 5181 5940
5040 1348.03 614 13707 353 0 4901 8369
5048 1370.73 701 16252 408 284 8511 7403
5040 1348.03 2 4820 5 0 4632 0
5048 1370.73 55 2869 88 0 2842 0
5040 1348.03 675 11412 619 0 6225 4999
5048 1370.73 142 6090 137 0 6641 0
5040 1348.03 437 7458 180 211 7106 0
5048 1370.73 498 4551 466 0 4075 0
5048 1370.73 390 13421 176 164 4885 8027
5040 1348.03 221 11850 0 0 11368 0
5040 1348.03 672 15763 529 97 5528 9074
5048 1370.73 560 16040 431 141 10823 5020
5040 1348.03 -26 4384 2 0 4526 0
5048 1370.73 33 4029 22 0 3044 926
5040 1348.03 77 3216 86 0 2747 0
5048 1370.73 295 10726 0 352 5520 5167
5040 1348.03 299 39188 130 121 14218 24229
5048 1370.73 176 11949 4 135 1868 10249
5040 1348.03 371 16544 195 179 6855 9562
5048 1370.73 423 6650 387 0 6387 0
5040 1348.03 1115 10333 893 152 4763 4683
5048 1370.73 554 7899 11 116 5397 2439
5040 1348.03 98 7972 110 0 7867 0
5048 1370.73 247 10070 231 0 6866 2924
5040 1348.03 598 13455 498 0 9207 4551
5048 1370.73 1261 14823 91 0 9847 4513
5040 1348.03 339 12580 326 0 8764 4085
5048 1370.73 -13 11763 42 0 10644 667
5040 1348.03 210 16696 208 0 16393 0
5048 1370.73 65 10035 72 0 9473 0
5040 1348.03 852 6988 797 0 6957 0
5048 1370.73 480 11195 281 183 5983 4585
5040 1348.03 831 13200 735 0 6047 6582
5048 1370.73 154 10056 204 0 5244 4731
5040 1348.03 878 14184 518 375 4683 8750
5048 1370.73 75 16068 41 0 4833 11634
5040 1348.03 123 13950 15 114 10131 4495
5048 1370.73 949 5564 904 0 5264 0
5040 1348.03 536 4745 503 0 4966 0
5048 1370.73 805 23266 320 515 7378 15902
5040 1348.03 442 23460 4 341 7546 16072
5048 1370.73 -52 12708 10 0 7406 5359
5040 1348.03 896 7024 934 0 7487 0
5048 1370.73 -9 5938 13 0 5832 0
5040 1348.03 0 10954 0 0 8669 2274
5048 1370.73 701 7025 731 0 2582 4215
5040 1348.03 9 4059 0 0 4118 0
5048 1370.73 664 27687 56 594 7860 18988
5040 1348.03 536 8654 160 303 7000 1783
5048 1370.73 426 19068 448 0 9809 9110
5040 1348.03 179 13657 177 0 7556 5838
5048 1370.73 335 5366 349 0 5147 0
5040 1348.03 115 7003 124 0 2935 3876
5048 1370.73 802 4941 716 0 5090 0
5040 1348.03 371 5534 377 0 3078 2846
5048 1370.73 375 8207 236 159 3268 5055
5040 1348.03 116 9741 57 0 9815 0
5048 1370.73 219 17016 175 0 3304 13669
5040 1348.03 137 4210 131 0 4034 0
5048 1370.73 238 9907 64 175 5185 4309
5040 1348.03 65 12649 24 0 7049 5493
5048 1370.73 681 9483 698 0 4166 5199
5040 1348.03 788 11977 624 117 4889 6975
5048 1370.73 201 5825 213 0 5945 0
5040 1348.03 3394 10333 811 133 4622 4802
5048 1370.73 571 13820 123 441 5299 8217
5040 1348.03 568 14213 194 356 4716 9116
5048 1370.73 425 15998 420 0 12568 1678
5040 1348.03 129 12676 163 0 11718 1189
5048 1370.73 598 19599 388 174 5942 13408
5040 1348.03 0 15106 0 0 11649 2453
5048 1370.73 216 12132 97 0 11743 0
5040 1348.03 146 13846 192 0 6212 7653
5048 1370.73 0 12376 0 0 6271 5814
5040 1348.03 732 3997 697 0 1816 1899
5048 1370.73 1191 21974 466 633 5683 15808
5040 1348.03 242 15016 201 0 10510 4794
5048 1370.73 266 11828 106 188 2392 9319
5040 1348.03 800 3673 792 0 3314 0
5048 1370.73 433 7043 186 146 3287 3582
5040 1348.03 96 8214 40 0 5728 2416
5048 1370.73 51 3831 49 0 3234 0
5040 1348.03 682 9570 667 0 8070 1037
5048 1370.73 196 11860 29 180 9466 2709
5040 1348.03 448 11166 55 337 6695 4582
5048 1370.73 759 7957 657 154 2088 5125
5040 1348.03 199 20520 9 155 11456 8795
5048 1370.73 1425 9166 819 656 2736 5387
5040 1348.03 134 7924 169 0 7650 0
5048 1370.73 385 7767 372 0 7914 0
#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1348.03 389 8638 364 0 3489 5696
5048 1370.73 -32 6489 15 0 6477 0
5040 1348.03 392 4870 310 0 5033 183
5048 1370.73 660 8625 691 0 4659 3667
5040 1348.03 354 3702 374 0 3470 0
5048 1370.73 1183 8290 1105 0 3849 4202
5040 1348.03 728 12788 721 0 8744 4167
5048 1370.73 277 4822 0 0 4177 0
5040 1348.03 473 14032 475 0 8921 5953
5048 1370.73 393 8461 399 0 4178 3767
5040 1348.03 60 3445 24 0 3409 3
5048 1370.73 272 4518 230 0 4735 0
5040 1348.03 779 9394 787 0 9234 0
5048 1370.73 11 9272 13 0 8629 0
5040 1348.03 370 1354 401 0 1394 0
5048 1370.73 23 1742 55 0 1912 0
5040 1348.03 273 20148 104 165 3848 17036
5048 1370.73 70 11458 10 0 7792 3591
5040 1348.03 562 22632 73 201 11770 11142
5048 1370.73 109 12262 70 0 2873 9280
5040 1348.03 723 8380 719 0 8234 0
5048 1370.73 514 17894 273 244 9634 8630
5040 1348.03 520 9743 258 202 4281 5335
5048 1370.73 510 18417 77 345 5909 12586
5040 1348.03 482 16081 412 0 11672 4101
5048 1370.73 647 12110 129 460 4706 7919
5040 1348.03 59 7274 50 0 7062 0
5048 1370.73 597 12723 646 0 7047 5000
5040 1348.03 0 15558 0 0 14447 1553
5048 1370.73 160 10304 12 141 5284 4827
5040 1348.03 124 9114 169 0 3797 6111
5048 1370.73 35 18037 0 0 8720 8233
5040 1348.03 640 18165 34 540 4060 13955
5048 1370.73 0 3560 0 0 3357 0
5040 1348.03 142 12859 152 0 9730 2544
5048 1370.73 28 7870 33 0 3277 4052
5040 1348.03 708 10780 631 0 5903 5157
5048 1370.73 384 19511 347 0 11615 7648
5040 1348.03 337 15289 174 188 5750 10370
5048 1370.73 948 11714 604 370 5022 6305
5040 1348.03 40 9130 3 0 4401 4961
5048 1370.73 528 6491 483 0 5958 272
5040 1348.03 229 7415 303 0 5667 1116
5048 1370.73 227 27564 1 246 8037 18350
5040 1348.03 1037 22715 1058 0 16641 6165
5048 1370.73 1689 21759 1002 716 9625 10960
5040 1348.03 593 14273 321 372 9787 4274
5048 1370.73 1619 9935 281 201 4895 4436
5040 1348.03 2617 6600 45 0 5054 1135
5048 1370.73 404 11860 123 268 5026 7132
5040 1348.03 647 9498 479 90 5346 4316
5048 1370.73 698 6259 663 0 5444 177
5040 1348.03 552 12757 425 0 12910 0
5048 1370.73 714 12855 8 680 4702 8320
5040 1348.03 673 13322 628 0 5980 7100
5048 1370.73 361 9690 359 0 5051 4572
5040 1348.03 271 23731 182 123 11639 11260
5048 1370.73 48 4391 37 0 4006 0
5040 1348.03 259 11295 252 0 3424 7734
5048 1370.73 1327 19279 558 206 6407 12880
5040 1348.03 269 4824 233 0 4624 0
5048 1370.73 726 5256 706 0 4797 0
5040 1348.03 310 20422 340 0 16428 5032
5048 1370.73 100 8243 0 117 4485 3587
5040 1348.03 722 15230 309 0 9649 5075
5048 1370.73 428 11030 416 0 7420 3959
5040 1348.03 462 4995 417 0 5378 0
5048 1370.73 840 6547 878 0 6212 0
5040 1348.03 773 10390 792 0 6047 4100
5048 1370.73 169 7141 147 0 7011 0
5040 1348.03 202 17749 219 0 12560 4860
5048 1370.73 602 5134 310 216 4662 21
5040 1348.03 849 8311 775 132 3651 4530
5048 1370.73 621 17152 611 0 7303 9520
5040 1348.03 567 11443 529 132 2762 9158
5048 1370.73 216 11624 187 0 7553 4155
5040 1348.03 48 10828 41 0 5483 5112
5048 1370.73 142 11497 128 0 6273 4775
5040 1348.03 1287 13645 1054 165 2743 11204
5048 1370.73 522 7692 2 0 7656 0
5040 1348.03 143 6738 155 0 6801 0
5048 1370.73 0 8981 0 0 3877 4932
5040 1348.03 329 17390 0 299 4282 12747
5048 1370.73 890 9763 626 232 7649 2093
5040 1348.03 120 13674 0 126 6945 6521
5048 1370.73 226 7340 106 180 5850 1518
5040 1348.03 14 10952 50 0 10223 0
5048 1370.73 0 4060 0 0 4130 0
5040 1348.03 1367 14117 1400 0 13444 0
5048 1370.73 621 19856 379 326 10639 8527
5040 1348.03 642 12007 686 0 12085 0
5048 1370.73 740 20022 312 450 11679 8386
5040 1348.03 263 1384 148 130 1264 0
5048 1370.73 273 4961 255 0 3290 1771
5040 1348.03 739 4939 755 0 5393 0
5048 1370.73 334 15516 403 0 10251 4475
5040 1348.03 414 18182 181 268 7114 10710
5048 1370.73 179 29109 0 170 5806 22556
5040 1348.03 148 6021 96 0 5973 0
5048 1370.73 199 4679 123 0 4472 0
5040 1348.03 45 6529 2 0 3170 3138
5048 1370.73 275 11467 272 0 11893 0
5040 1348.03 718 8195 378 354 8161 1180
5048 1370.73 938 20280 736 263 7193 12662
5040 1348.03 161 12541 93 143 7622 4695
5048 1370.73 349 9109 310 0 9022 0
5040 1348.03 321 12731 78 207 8073 5227
5048 1370.73 13 12541 42 0 7945 4516
5040 1348.03 571 6919 491 0 3065 4258
5048 1370.73 9 3639 12 0 3340 0
5040 1348.03 257 9072 303 0 4087 4913
5048 1370.73 854 11713 689 157 5004 7222
5040 1348.03 844 18494 473 401 9662 9042
5048 1370.73 927 7556 1029 0 6579 557
5040 1348.03 258 13568 61 160 4576 7709
5048 1370.73 929 5274 918 0 5386 0
5040 1348.03 292 20626 208 0 6408 14488
5048 1370.73 594 16856 106 427 6057 10795
5040 1348.03 227 15152 244 0 7313 7806
5048 1370.73 425 4097 462 0 4130 0
5040 1348.03 504 9991 221 254 3023 6571
5048 1370.73 210 4683 171 0 4205 0
5040 1348.03 470 10193 460 0 10314 0
5048 1370.73 310 7820 138 195 6887 433
5040 1348.03 0 6449 0 0 3224 3316
5048 1370.73 311 13647 252 0 4566 9351
5040 1348.03 587 19240 371 186 12518 5913
5048 1370.73 256 17459 162 109 13177 4210
5040 1348.03 372 4592 127 267 4700 0
5048 1370.73 234 15370 26 191 5820 9880
5040 1348.03 720 16886 573 113 3428 13296
5048 1370.73 446 20797 358 0 12551 7857
5048 1370.73 59 18565 41 0 10390 7402
5040 1348.03 809 10809 783 122 6809 4172
5040 1348.03 332 9527 249 0 5217 4408
